pathwayRes	pathway	pathwayTitle	TotalGenesinPW	GenesInPWs.ileum_Ensembl_BridgeDb_UC	probabilities.ileum_Ensembl_BridgeDb_UC	GenesInPWs.ileum_Ensembl_Hs_UC	probabilities.ileum_Ensembl_Hs_UC	GenesInPWs.ileum_Ensembl_PriID_BridgeDb_UC	probabilities.ileum_Ensembl_PriID_BridgeDb_UC	GenesInPWs.ileum_ENTREZ_BridgeDb_UC	probabilities.ileum_ENTREZ_BridgeDb_UC	GenesInPWs.ileum_ENTREZ_Hs_UC	probabilities.ileum_ENTREZ_Hs_UC	GenesInPWs.ileum_ENTREZ_PriID_BridgeDb_UC	probabilities.ileum_ENTREZ_PriID_BridgeDb_UC	GenesInPWs.ileum_HGNC_PriID_BridgeDb_UC	probabilities.ileum_HGNC_PriID_BridgeDb_UC	GenesInPWs.ileum_HGNC_UC	probabilities.ileum_HGNC_UC
<https://identifiers.org/wikipathways/WP2882_r120815>	WP2882	Nuclear receptors meta-pathway	318	3	1.4472560638996e-91	3	2.55055386845682e-90	4	2.13283502908131e-94	3	2.55055386845682e-90	3	1.4472560638996e-91	4	2.15906394379828e-91	4	2.00179352629885e-102	3	1.8365078222925e-104
<https://identifiers.org/wikipathways/WP299_r117807>	WP299	Nuclear receptors in lipid metabolism and toxicity	35	1	6.48404886464776e-31	1	1.17330408026959e-30	1	6.67695198679579e-32	1	1.17330408026959e-30	1	6.48404886464776e-31	1	2.71512825592628e-31	1	1.7464416090026e-33	1	1.7464416090026e-33
<https://identifiers.org/wikipathways/WP3301_r120029>	WP3301	MFAP5-mediated ovarian cancer cell motility and invasiveness	13	1	3.29642612556606e-15	1	4.14856349135864e-15	1	1.3700689421752e-15	1	4.14856349135864e-15	1	3.29642612556606e-15	1	2.35376757335689e-15	1	3.38898393358217e-16	1	3.38898393358217e-16
<https://identifiers.org/wikipathways/WP3591_r88424>	WP3591	Sleep regulation	39	1	3.79752520613005e-33	1	7.29287668940585e-33	1	3.10867847148934e-34	1	7.29287668940585e-33	1	3.79752520613005e-33	1	1.45680119284268e-33	1	5.60309564999723e-36	1	5.60309564999723e-36
<https://identifiers.org/wikipathways/WP3594_r117682>	WP3594	Circadian rhythm genes	209	1	6.40493370924191e-81	1	6.20173451364266e-80	1	9.49763069551651e-85	1	6.20173451364266e-80	1	6.40493370924191e-81	1	2.23648142217939e-82	1	4.76627143688425e-91	1	4.76627143688425e-91
<https://identifiers.org/wikipathways/WP3617_r106541>	WP3617	Photodynamic therapy-induced NF-kB survival signaling	35	1	6.48404886464776e-31	1	1.17330408026959e-30	1	6.67695198679579e-32	1	1.17330408026959e-30	1	6.48404886464776e-31	1	2.71512825592628e-31	1	1.7464416090026e-33	1	1.7464416090026e-33
<https://identifiers.org/wikipathways/WP3658_r116670>	WP3658	Wnt/beta-catenin signaling pathway in leukemia	27	1	5.39772292746436e-26	1	8.62344932753008e-26	1	8.97981673155401e-27	1	8.62344932753008e-26	1	5.39772292746436e-26	1	2.7148628686423e-26	1	5.1027916998672e-28	1	5.1027916998672e-28
<https://identifiers.org/wikipathways/WP382_r119087>	WP382	MAPK signaling pathway	249	1	4.15095992480838e-87	1	5.13680221080562e-86	1	2.34148174611657e-91	1	5.13680221080562e-86	1	4.15095992480838e-87	1	1.00599858722261e-88	1	2.28590994753237e-98	1	2.28590994753237e-98
<https://identifiers.org/wikipathways/WP383_r118423>	WP383	Striated muscle contraction pathway	38	1	1.33400244420466e-32	1	2.52445731556356e-32	1	1.15579071375885e-33	1	2.52445731556356e-32	1	1.33400244420466e-32	1	5.22954274353788e-33	1	2.28433899576809e-35	1	2.28433899576809e-35
<https://identifiers.org/wikipathways/WP3893_r118859>	WP3893	Development and heterogeneity of the ILC family	32	1	3.79736414684894e-29	1	6.56378032804129e-29	1	4.66529704061357e-30	1	6.56378032804129e-29	1	3.79736414684894e-29	1	1.70101022163485e-29	1	1.62419069637241e-31	1	1.62419069637241e-31
<https://identifiers.org/wikipathways/WP3958_r117148>	WP3958	GPR40 pathway	15	1	5.46973361543045e-17	1	7.13512148390918e-17	1	1.9815046684352e-17	1	7.13512148390918e-17	1	5.46973361543045e-17	1	3.70533126240592e-17	1	3.93414386983e-18	1	3.93414386983e-18
<https://identifiers.org/wikipathways/WP4142_r119292>	WP4142	Metabolism of spingolipids in ER and Golgi apparatus	31	1	1.54267918465738e-28	1	2.62551213121653e-28	1	2.01190934876462e-29	1	2.62551213121653e-28	1	1.54267918465738e-28	1	7.06982373366981e-29	1	7.71490580776901e-31	1	7.71490580776901e-31
<https://identifiers.org/wikipathways/WP4217_r120623>	WP4217	Ebola virus infection in host	140	2	2.10814773342495e-65	2	1.21534651644947e-64	2	2.39547366540677e-68	2	1.21534651644947e-64	2	2.10814773342495e-65	2	1.59087657707663e-66	2	3.69838037518302e-73	2	3.69838037518302e-73
<https://identifiers.org/wikipathways/WP4222_r107160>	WP4222	Phosphodiesterases in neuronal function	52	1	1.31752430620845e-39	1	3.03511319766633e-39	1	5.33806631550073e-41	1	3.03511319766633e-39	1	1.31752430620845e-39	1	3.86516657740949e-40	1	3.05858854453163e-43	1	3.05858854453163e-43
<https://identifiers.org/wikipathways/WP4389_r116629>	WP4389	Bile acids synthesis and enterohepatic circulation 	13	1	3.29642612556606e-15	1	4.14856349135864e-15	1	1.3700689421752e-15	1	4.14856349135864e-15	1	3.29642612556606e-15	1	2.35376757335689e-15	1	3.38898393358217e-16	1	3.38898393358217e-16
<https://identifiers.org/wikipathways/WP4396_r98945>	WP4396	Nonalcoholic fatty liver disease	155	1	8.63933414883498e-71	1	5.67727672637716e-70	1	5.87585421892214e-74	1	5.67727672637716e-70	1	8.63933414883498e-71	1	5.36769653686229e-72	1	3.83743337308557e-79	1	3.83743337308557e-79
<https://identifiers.org/wikipathways/WP4481_r121702>	WP4481	Resistin as a regulator of inflammation	33	1	9.56587914855084e-30	1	1.67910659554546e-29	1	1.10758850604494e-30	1	1.67910659554546e-29	1	9.56587914855084e-30	1	4.18905502342908e-30	1	3.50315640394053e-32	1	3.50315640394053e-32
<https://identifiers.org/wikipathways/WP455_r117740>	WP455	GPCRs, class A rhodopsin-like	262	1	6.13674290636682e-89	1	8.17473359326792e-88	1	2.58879324628611e-93	1	8.17473359326792e-88	1	6.13674290636682e-89	1	1.33271436020538e-90	1	1.54316760071553e-100	1	1.54316760071553e-100
<https://identifiers.org/wikipathways/WP4584_r119306>	WP4584	Biomarkers for pyrimidine metabolism disorders	19	1	2.85966159881034e-20	1	4.00034294156402e-20	1	7.9248941402585e-21	1	4.00034294156402e-20	1	2.85966159881034e-20	1	1.74834032372787e-20	1	1.02398097020843e-21	1	1.02398097020843e-21
<https://identifiers.org/wikipathways/WP4656_r120396>	WP4656	Joubert syndrome	76	1	2.73859031238778e-49	1	8.49691255241158e-49	1	3.49444842451486e-51	1	8.49691255241158e-49	1	2.73859031238778e-49	1	5.17517011486878e-50	1	3.00421065675948e-54	1	3.00421065675948e-54
<https://identifiers.org/wikipathways/WP4657_r120007>	WP4657	22q11.2 copy number variation syndrome	154	1	1.41016228364851e-70	1	9.19352553755276e-70	1	9.8941803299268e-74	1	9.19352553755276e-70	1	1.41016228364851e-70	1	8.86535686088233e-72	1	6.80834953289358e-79	1	6.80834953289358e-79
<https://identifiers.org/wikipathways/WP4754_r115147>	WP4754	IL-18 signaling pathway	185	2	1.44739881457765e-74	2	1.18217663228989e-73	2	4.19153763842845e-78	2	1.18217663228989e-73	2	1.44739881457765e-74	2	6.50968722972347e-76	2	6.51056315714675e-84	2	6.51056315714675e-84
<https://identifiers.org/wikipathways/WP4786_r117852>	WP4786	Type I collagen synthesis in the context of osteogenesis imperfecta	33	NA	NA	NA	NA	1	1.10758850604494e-30	NA	NA	NA	NA	1	4.18905502342908e-30	1	3.50315640394053e-32	NA	NA
<https://identifiers.org/wikipathways/WP4917_r119111>	WP4917	Proximal tubule transport	57	2	6.1205599343732e-40	2	1.48642169834779e-39	2	2.02111568829649e-41	2	1.48642169834779e-39	2	6.1205599343732e-40	2	1.66095073688084e-40	2	8.28781781316227e-44	2	8.28781781316227e-44
<https://identifiers.org/wikipathways/WP497_r119105>	WP497	Urea cycle and metabolism of amino groups	37	1	4.77432453715344e-32	1	8.90203369172406e-32	1	4.37983849424406e-33	1	8.90203369172406e-32	1	4.77432453715344e-32	1	1.91291168776779e-32	1	9.49804108766738e-35	1	9.49804108766738e-35
<https://identifiers.org/wikipathways/WP4971_r122106>	WP4971	Phosphoinositides metabolism	54	1	1.64288714027911e-40	1	3.88657448399155e-40	1	6.00532460493828e-42	1	3.88657448399155e-40	1	1.64288714027911e-40	1	4.63431367597232e-41	1	2.90800625023239e-44	1	2.90800625023239e-44
<https://identifiers.org/wikipathways/WP5044_r119244>	WP5044	Kynurenine pathway and links to cell senescence	23	1	2.98070410462423e-23	1	4.46091770760085e-23	1	6.37410672612045e-24	1	4.46091770760085e-23	1	2.98070410462423e-23	1	1.65026536083625e-23	1	5.42900401438276e-25	1	5.42900401438276e-25
<https://identifiers.org/wikipathways/WP5055_r122621>	WP5055	Burn wound healing	109	2	1.20313750492177e-57	2	5.23690958903799e-57	2	4.10369771436191e-60	2	5.23690958903799e-57	2	1.20313750492177e-57	2	1.37738974142324e-58	2	3.96693284485405e-64	2	3.96693284485405e-64
<https://identifiers.org/wikipathways/WP5083_r120385>	WP5083	Neuroinflammation and glutamatergic signaling	140	2	2.10814773342495e-65	2	1.21534651644947e-64	2	2.39547366540677e-68	2	1.21534651644947e-64	2	2.10814773342495e-65	2	1.59087657707663e-66	2	3.69838037518302e-73	2	3.69838037518302e-73
<https://identifiers.org/wikipathways/WP5087_r122659>	WP5087	Malignant pleural mesothelioma	438	1	4.17220629998794e-108	1	1.23317035516859e-106	1	7.52839606077276e-114	1	1.23317035516859e-106	1	4.17220629998794e-108	1	2.76020916462171e-110	1	2.06410680129814e-123	1	2.06410680129814e-123
<https://identifiers.org/wikipathways/WP5095_r120801>	WP5095	Overview of proinflammatory and profibrotic mediators	130	1	4.09710861914729e-65	1	2.18563135119143e-64	1	6.30860887392243e-68	1	2.18563135119143e-64	1	4.09710861914729e-65	1	3.46915516562378e-66	1	1.61914587674349e-72	1	1.61914587674349e-72
<https://identifiers.org/wikipathways/WP5110_r120392>	WP5110	Familial hyperlipidemia type 3	13	1	3.29642612556606e-15	1	4.14856349135864e-15	1	1.3700689421752e-15	1	4.14856349135864e-15	1	3.29642612556606e-15	1	2.35376757335689e-15	1	3.38898393358217e-16	1	3.38898393358217e-16
<https://identifiers.org/wikipathways/WP5113_r119486>	WP5113	Antiviral and anti-inflammatory effects of Nrf2 on SARS-CoV-2 pathway	41	1	3.24676328748477e-34	1	6.41923452695663e-34	1	2.37546952438849e-35	1	6.41923452695663e-34	1	3.24676328748477e-34	1	1.19326438730496e-34	1	3.56718822437707e-37	1	3.56718822437707e-37
<https://identifiers.org/wikipathways/WP5115_r120811>	WP5115	Network map of SARS-CoV-2 signaling pathway	285	1	5.3997429902265e-92	1	8.14280352430527e-91	1	1.39614725249381e-96	1	8.14280352430527e-91	1	5.3997429902265e-92	1	9.74799676399085e-94	1	3.62034776723213e-104	1	3.62034776723213e-104
<https://identifiers.org/wikipathways/WP5166_r122169>	WP5166	Glyoxylate metabolism	14	1	4.12053265695757e-16	1	5.27998989809282e-16	1	1.59841376587106e-16	1	5.27998989809282e-16	1	4.12053265695757e-16	1	2.86545617626055e-16	1	3.54072948284701e-17	1	3.54072948284701e-17
<https://identifiers.org/wikipathways/WP5176_r122283>	WP5176	Disorders of bile acid synthesis and biliary transport	20	1	4.84688406578027e-21	1	6.8971430026965e-21	1	1.25791970480293e-21	1	6.8971430026965e-21	1	4.84688406578027e-21	1	2.88981871690559e-21	1	1.46282995744063e-22	1	1.46282995744063e-22
<https://identifiers.org/wikipathways/WP5188_r122585>	WP5188	Retinol metabolism	19	1	2.85966159881034e-20	1	4.00034294156402e-20	1	7.9248941402585e-21	1	4.00034294156402e-20	1	2.85966159881034e-20	1	1.74834032372787e-20	1	1.02398097020843e-21	1	1.02398097020843e-21
<https://identifiers.org/wikipathways/WP5190_r122630>	WP5190	Creatine pathway	5	1	1.13089549960136e-06	1	1.22461225714408e-06	1	8.34863220184321e-07	1	1.22461225714408e-06	1	1.13089549960136e-06	1	1.00650402903563e-06	1	5.15922663192788e-07	1	5.15922663192788e-07
<https://identifiers.org/wikipathways/WP5224_r122740>	WP5224	2q37 copy number variation syndrome	172	1	2.99018556137977e-74	1	2.23847843045769e-73	1	1.21941475584782e-77	1	2.23847843045769e-73	1	2.99018556137977e-74	1	1.53080137514374e-75	1	3.3711382257635e-83	1	3.3711382257635e-83
<https://identifiers.org/wikipathways/WP673_r118930>	WP673	ErbB signaling pathway	92	1	1.19916468571005e-54	1	4.43846669386187e-54	1	7.69899695734426e-57	1	4.43846669386187e-54	1	1.19916468571005e-54	1	1.74545425406587e-55	1	2.12688151152938e-60	1	2.12688151152938e-60
<https://identifiers.org/wikipathways/WP702_r106643>	WP702	Metapathway biotransformation Phase I and II	190	1	1.25532437060285e-77	1	1.06947115209801e-76	1	3.07982934646871e-81	1	1.06947115209801e-76	1	1.25532437060285e-77	1	5.30259766340696e-79	1	3.61697765657821e-87	1	3.61697765657821e-87
<https://identifiers.org/wikipathways/WP710_r116542>	WP710	DNA damage response (only ATM dependent)	114	1	5.01469662661638e-61	1	2.31207389715319e-60	1	1.36598869557861e-63	1	2.31207389715319e-60	1	5.01469662661638e-61	1	5.27150197470858e-62	1	9.08169189584108e-68	1	9.08169189584108e-68
