pathwayRes	pathway	pathwayTitle	TotalGenesinPW	GenesInPWs.rectum_Ensembl_BridgeDb_UC	probabilities.rectum_Ensembl_BridgeDb_UC	GenesInPWs.rectum_Ensembl_Hs_UC	probabilities.rectum_Ensembl_Hs_UC	GenesInPWs.rectum_Ensembl_PriID_BridgeDb_UC	probabilities.rectum_Ensembl_PriID_BridgeDb_UC	GenesInPWs.rectum_ENTREZ_BridgeDb_UC	probabilities.rectum_ENTREZ_BridgeDb_UC	GenesInPWs.rectum_ENTREZ_Hs_UC	probabilities.rectum_ENTREZ_Hs_UC	GenesInPWs.rectum_ENTREZ_PriID_BridgeDb_UC	probabilities.rectum_ENTREZ_PriID_BridgeDb_UC	GenesInPWs.rectum_HGNC_PriID_BridgeDb_UC	probabilities.rectum_HGNC_PriID_BridgeDb_UC	GenesInPWs.rectum_HGNC_UC	probabilities.rectum_HGNC_UC
<https://identifiers.org/wikipathways/WP138_r122133>	WP138	Androgen receptor signaling pathway	88	33	9.2311048265877e-111	33	2.21455312986948e-110	35	1.12308393080244e-107	33	1.23017147400653e-109	33	8.72854497410874e-111	35	1.42728752247408e-106	35	1.02239658541791e-109	33	2.58270663370922e-114
<https://identifiers.org/wikipathways/WP1403_r121114>	WP1403	AMP-activated protein kinase (AMPK) signaling	68	26	2.87062372954783e-89	26	5.60408906506057e-89	26	2.29325988835539e-90	26	2.07881463381653e-88	26	2.75036565849714e-89	26	1.72260811209057e-89	26	5.5190303079525e-92	26	5.5190303079525e-92
<https://identifiers.org/wikipathways/WP1422_r118359>	WP1422	Sphingolipid pathway	36	11	5.50168012493545e-61	11	8.19748747845264e-61	12	6.35724865971749e-59	11	1.79085769716883e-60	11	5.36310596420498e-61	12	2.01570076300064e-58	12	7.53505364069078e-60	11	1.32309984911161e-62
<https://identifiers.org/wikipathways/WP1423_r117518>	WP1423	Ganglio sphingolipid metabolism	18	6	5.30772381186324e-33	6	6.42880132072716e-33	6	2.57367627871572e-33	6	9.35876465930646e-33	6	5.24305649273788e-33	6	4.58541997331669e-33	6	8.85190056388581e-34	6	8.85190056388581e-34
<https://identifiers.org/wikipathways/WP1425_r116437>	WP1425	Bone morphogenic protein (BMP) signaling and regulation	12	3	9.66293607154925e-27	3	1.11568461207063e-26	3	5.61416105862447e-27	3	1.47873408076005e-26	3	9.57448124310812e-27	3	8.6586485346259e-27	3	2.52096508742914e-27	3	2.52096508742914e-27
<https://identifiers.org/wikipathways/WP143_r116506>	WP143	Fatty acid beta-oxidation	34	15	5.54528253501659e-46	15	7.50952173024769e-46	15	1.76393852593275e-46	15	1.36043284519509e-45	15	5.43875351979114e-46	15	4.39941874856918e-46	15	3.25817596999598e-47	15	3.25817596999598e-47
<https://identifiers.org/wikipathways/WP1433_r122867>	WP1433	Nucleotide-binding oligomerization domain (NOD) pathway	41	18	1.06957973405869e-53	18	1.5437289638929e-53	18	2.67452922077111e-54	18	3.16851458190679e-53	18	1.04476542618009e-53	18	8.08280384752852e-54	18	3.46407661407123e-55	18	3.46407661407123e-55
<https://identifiers.org/wikipathways/WP1434_r117813>	WP1434	Osteopontin signaling	13	6	3.61008360998001e-20	6	4.03723548982462e-20	6	2.36629065287588e-20	6	5.02644420012132e-20	6	3.58434992057519e-20	6	3.31468968956627e-20	6	1.26934368977921e-20	6	1.26934368977921e-20
<https://identifiers.org/wikipathways/WP1455_r117827>	WP1455	Serotonin transporter activity	11	5	8.15184649007405e-18	5	8.97197948469494e-18	5	5.6754571197438e-18	5	1.08261875079541e-17	5	8.10200941662318e-18	5	7.5766157019585e-18	5	3.32763330366732e-18	5	3.32763330366732e-18
<https://identifiers.org/wikipathways/WP1471_r120934>	WP1471	Target of rapamycin (TOR) signaling	36	11	5.50168012493545e-61	11	8.19748747845264e-61	11	1.21981106358505e-61	11	1.79085769716883e-60	11	5.36310596420498e-61	11	4.05777707700175e-61	11	1.32309984911161e-62	11	1.32309984911161e-62
<https://identifiers.org/wikipathways/WP1495_r117738>	WP1495	Glycine metabolism	5	2	2.97252206503549e-10	2	3.11850604989874e-10	2	2.48015034242795e-10	2	3.42571312551149e-10	2	2.96341941770944e-10	2	2.86569973100015e-10	2	1.89897225232792e-10	2	1.89897225232792e-10
<https://identifiers.org/wikipathways/WP15_r121694>	WP15	Selenium micronutrient network	89	36	6.71765240310828e-106	36	1.56132408244876e-105	40	1.96954837625037e-98	36	8.15114600492903e-105	36	6.36481526434806e-106	40	2.06762193752708e-97	40	2.552819031007e-100	36	2.52759155839437e-109
<https://identifiers.org/wikipathways/WP1528_r121714>	WP1528	Physiological and pathological hypertrophy of the heart	24	10	2.95431743316258e-36	10	3.69430263902516e-36	10	1.26990412503651e-36	10	5.72491430679887e-36	10	2.91237395246178e-36	10	2.49087708397952e-36	10	3.65665135085334e-37	10	3.65665135085334e-37
<https://identifiers.org/wikipathways/WP1530_r118120>	WP1530	miRNA regulation of DNA damage response	96	30	5.11417341057312e-132	30	1.46011521376597e-131	31	1.97299721118087e-131	30	1.14063197503899e-130	30	4.78220684675072e-132	31	4.44514263438258e-130	31	6.23096731882761e-134	30	2.8095998092169e-136
<https://identifiers.org/wikipathways/WP1531_r118354>	WP1531	Vitamin D metabolism	11	7	6.68665495202244e-12	7	7.12801382834039e-12	7	5.25236395316088e-12	7	8.07922337980158e-12	7	6.65936947799904e-12	7	6.36822162444463e-12	7	3.67920647742978e-12	7	3.67920647742978e-12
<https://identifiers.org/wikipathways/WP1533_r121695>	WP1533	Vitamin B12 metabolism	57	23	1.07813777305122e-74	23	1.85363872636387e-74	23	1.39193216570267e-75	23	5.36066258793539e-74	23	1.0414019381563e-74	23	7.12867874329108e-75	23	6.80031764388235e-77	23	6.80031764388235e-77
<https://identifiers.org/wikipathways/WP1539_r118358>	WP1539	Angiogenesis	24	9	5.02520400265779e-39	9	6.38489913416021e-39	9	2.03379904714365e-39	9	1.02084777225371e-38	9	4.94880875524508e-39	9	4.18564457062599e-39	9	5.35851604755747e-40	9	5.35851604755747e-40
<https://identifiers.org/wikipathways/WP1541_r117711>	WP1541	Energy metabolism	47	11	1.2802845999123e-84	11	2.27226460747493e-84	11	1.46591204686648e-85	11	6.99351969945363e-84	11	1.23414930895578e-84	11	8.26237382873815e-85	11	5.99940821093022e-87	11	5.99940821093022e-87
<https://identifiers.org/wikipathways/WP1544_r121713>	WP1544	MicroRNAs in cardiomyocyte hypertrophy	104	35	6.5316751308206e-135	35	1.95534886589113e-134	35	1.03739440768095e-136	35	1.67617219241235e-133	35	6.08920128169255e-135	35	2.82801628370956e-135	35	2.30303183647685e-139	35	2.30303183647685e-139
<https://identifiers.org/wikipathways/WP1545_r118363>	WP1545	miRNAs involved in DNA damage response	69	7	5.73747227381566e-140	7	1.53767754325216e-139	7	1.3842904841008e-141	7	1.06123030267248e-138	7	5.38679870159619e-140	7	2.70313053206393e-140	7	5.695371710905e-144	7	5.695371710905e-144
<https://identifiers.org/wikipathways/WP1559_r117836>	WP1559	Transcription factors regulate miRNAs related to cardiac hypertrophy	14	3	5.09610867949464e-32	3	6.07479706499433e-32	3	2.62456105481452e-32	3	8.57122155480596e-32	3	5.03915985135365e-32	3	4.45654869302096e-32	3	9.86581923958582e-33	3	9.86581923958582e-33
<https://identifiers.org/wikipathways/WP1584_r122869>	WP1584	Type II diabetes mellitus	22	10	1.84885712779902e-31	10	2.23936579338662e-31	10	8.96497237085973e-32	10	3.25996968965845e-31	10	1.82633134497037e-31	10	1.59725462403867e-31	10	3.08341202975359e-32	10	3.08341202975359e-32
<https://identifiers.org/wikipathways/WP1589_r122870>	WP1589	Folate-alcohol and cancer pathway hypotheses	9	4	2.17506085894246e-15	4	2.355960249231e-15	4	1.60847614280008e-15	4	2.75526472077428e-15	4	2.16397306054903e-15	4	2.04637502277443e-15	4	1.03081004384058e-15	4	1.03081004384058e-15
<https://identifiers.org/wikipathways/WP1591_r118366>	WP1591	Heart development	47	16	1.74327709692547e-71	16	2.85763057673763e-71	16	2.69498307010639e-72	16	7.52690498824777e-71	16	1.68902279334435e-71	16	1.19539809552056e-71	16	1.7174226688988e-73	16	1.7174226688988e-73
<https://identifiers.org/wikipathways/WP1600_r119518>	WP1600	Nicotine metabolism in liver cells	6	3	5.94504413007102e-10	3	6.23701209979749e-10	3	4.96030068485593e-10	3	6.85142625102298e-10	3	5.92683883541888e-10	3	5.73139946200029e-10	3	3.79794450465585e-10	3	3.79794450465585e-10
<https://identifiers.org/wikipathways/WP1601_r120496>	WP1601	Fluoropyrimidine activity	34	15	5.54528253501659e-46	15	7.50952173024769e-46	15	1.76393852593275e-46	15	1.36043284519509e-45	15	5.43875351979114e-46	15	4.39941874856918e-46	15	3.25817596999598e-47	15	3.25817596999598e-47
<https://identifiers.org/wikipathways/WP1602_r117165>	WP1602	Nicotine effect on dopaminergic neurons	21	6	2.08555897343506e-40	6	2.64985932445385e-40	6	8.44066798221658e-41	6	4.23672000342444e-40	6	2.05385343597129e-40	6	1.73712521705823e-40	6	2.22389005926303e-41	6	2.22389005926303e-41
<https://identifiers.org/wikipathways/WP1603_r117164>	WP1603	Nicotine effect on chromaffin cells	4	2	3.48795739111272e-07	2	3.60125078642309e-07	2	3.09125938680219e-07	2	3.83405813007207e-07	2	3.48083244804143e-07	2	3.4038781404818e-07	2	2.5871597965717e-07	2	2.5871597965717e-07
<https://identifiers.org/wikipathways/WP1604_r118374>	WP1604	Codeine and morphine metabolism	17	8	1.06775443590619e-24	8	1.23283149633803e-24	8	6.2036479697801e-25	8	1.63400115923983e-24	8	1.05798017736345e-24	8	9.56780663076162e-25	8	2.78566642160919e-25	8	2.78566642160919e-25
<https://identifiers.org/wikipathways/WP167_r120547>	WP167	Eicosanoid synthesis	28	13	1.43903569167021e-37	13	1.82840293387314e-37	13	5.82406090772946e-38	13	2.92333680236283e-37	13	1.41715887082017e-37	13	1.19861639977014e-37	13	1.53448414089145e-38	13	1.53448414089145e-38
<https://identifiers.org/wikipathways/WP170_r116552>	WP170	Nuclear receptors	38	17	1.04301729327747e-49	17	1.45820009431791e-49	17	2.94157459075944e-50	17	2.81187894550233e-49	17	1.02089722097495e-49	17	8.07606812710646e-50	17	4.54970964596966e-51	17	4.54970964596966e-51
<https://identifiers.org/wikipathways/WP1742_r116592>	WP1742	TP53 network	22	6	7.80311180536929e-43	6	1.00737696799698e-42	6	2.97349392488012e-43	6	1.66175503789159e-42	6	7.67665232609053e-43	6	6.42082573509422e-43	6	7.16858334121406e-44	6	7.16858334121406e-44
<https://identifiers.org/wikipathways/WP176_r121696>	WP176	Folate metabolism	75	26	1.14029677909569e-102	26	2.4875142715827e-102	26	5.98840462786077e-104	26	1.1469780680444e-101	26	1.08479399464289e-102	26	6.2865969318942e-103	26	7.76183691840957e-106	26	7.76183691840957e-106
<https://identifiers.org/wikipathways/WP1772_r120736>	WP1772	Apoptosis modulation and signaling	97	33	5.32792025389888e-127	33	1.47379888937808e-126	33	1.14067264334828e-128	33	1.08216703715752e-125	33	4.99216688029082e-127	33	2.45028806064973e-127	33	3.93434841563782e-131	33	3.93434841563782e-131
<https://identifiers.org/wikipathways/WP179_r122978>	WP179	Cell cycle	120	46	1.08097640540546e-138	46	3.50191761160688e-138	46	1.27396529614605e-140	46	3.50412965238446e-137	46	1.0026703966352e-138	46	4.40649604320702e-139	46	1.82097186898357e-143	46	1.82097186898357e-143
<https://identifiers.org/wikipathways/WP183_r117060>	WP183	Proteasome degradation	65	30	3.62507402615283e-74	30	6.33241073408151e-74	31	8.90589131442442e-73	30	1.88923245446852e-73	30	3.49799748877704e-74	31	4.56108707504093e-72	31	4.35099434672574e-74	30	1.97078937388221e-76
<https://identifiers.org/wikipathways/WP185_r116785>	WP185	Integrin-mediated cell adhesion	101	40	1.15687316731318e-118	40	3.05183289158069e-118	41	4.54587205817799e-118	40	2.04195305269731e-117	40	1.08726495570247e-118	41	8.06913855163894e-117	41	2.23109675093789e-120	40	1.3315133448101e-122
<https://identifiers.org/wikipathways/WP186_r118416>	WP186	Homologous recombination	13	3	2.13854560657372e-29	3	2.50889118784261e-29	4	1.82460234405296e-26	3	3.43093754236663e-29	3	2.11680707755789e-29	4	2.81406077375342e-26	4	8.19313653414472e-27	3	4.80606337242684e-30
<https://identifiers.org/wikipathways/WP1941_r107124>	WP1941	Peroxisomal beta-oxidation of tetracosanoyl-CoA	4	2	3.48795739111272e-07	2	3.60125078642309e-07	2	3.09125938680219e-07	2	3.83405813007207e-07	2	3.48083244804143e-07	2	3.4038781404818e-07	2	2.5871597965717e-07	2	2.5871597965717e-07
<https://identifiers.org/wikipathways/WP1946_r122878>	WP1946	Cori cycle	23	9	1.23096559715107e-36	9	1.53929276626046e-36	9	5.2912671876521e-37	9	2.38538096116616e-36	9	1.21348914685908e-36	9	1.03786545165814e-36	9	1.52360472952219e-37	9	1.52360472952219e-37
<https://identifiers.org/wikipathways/WP195_r120702>	WP195	IL-1 signaling pathway	55	23	1.17475492745723e-70	23	1.9565540027935e-70	23	1.71021481093568e-71	23	5.31657852753399e-70	23	1.13703708847402e-70	23	7.9583323311299e-71	23	9.97461005090681e-73	23	9.97461005090681e-73
<https://identifiers.org/wikipathways/WP197_r120482>	WP197	Cholesterol biosynthesis pathway	15	13	6.10392543444724e-06	13	6.30218887624041e-06	13	5.40970392690382e-06	13	6.70960172762611e-06	13	6.09145678407249e-06	13	5.95678674584315e-06	13	4.52752964400048e-06	13	4.52752964400048e-06
<https://identifiers.org/wikipathways/WP1971_r117762>	WP1971	Integrated cancer pathway	49	21	3.43803114060639e-63	21	5.37313394730429e-63	22	1.81020332632079e-61	21	1.28894287555612e-62	21	3.3412158461138e-63	22	6.62811825124255e-61	22	1.64441296257656e-62	21	5.29136831602814e-65
<https://identifiers.org/wikipathways/WP1982_r116442>	WP1982	Sterol regulatory element-binding proteins (SREBP) signaling	69	36	1.86595734367605e-68	36	3.15754827762316e-68	36	2.55813325722479e-69	36	8.85152436141604e-68	36	1.80421135436878e-68	36	1.24883785834365e-68	36	1.36552111603771e-70	36	1.36552111603771e-70
<https://identifiers.org/wikipathways/WP1991_r117830>	WP1991	SRF and miRs in smooth muscle differentiation and proliferation	17	3	1.02431087759606e-39	3	1.28087602767669e-39	3	4.40296832756565e-40	3	1.9849227885718e-39	3	1.00976837683301e-39	3	8.63628418271777e-40	3	1.26782170128746e-40	3	1.26782170128746e-40
<https://identifiers.org/wikipathways/WP1992_r105839>	WP1992	Genes targeted by miRNAs in adipocytes	13	3	2.13854560657372e-29	3	2.50889118784261e-29	3	1.16980435586016e-29	3	3.43093754236663e-29	3	2.11680707755789e-29	3	1.89307821981393e-29	3	4.80606337242684e-30	3	4.80606337242684e-30
<https://identifiers.org/wikipathways/WP1995_r116455>	WP1995	Effects of nitric oxide	8	4	1.41838135345931e-12	4	1.51200293328433e-12	4	1.11413780824625e-12	4	1.71377465632155e-12	4	1.41259352563617e-12	4	1.35083489003371e-12	4	7.80437737636619e-13	4	7.80437737636619e-13
<https://identifiers.org/wikipathways/WP2007_r106626>	WP2007	Iron metabolism in placenta	12	3	9.66293607154925e-27	3	1.11568461207063e-26	3	5.61416105862447e-27	3	1.47873408076005e-26	3	9.57448124310812e-27	3	8.6586485346259e-27	3	2.52096508742914e-27	3	2.52096508742914e-27
<https://identifiers.org/wikipathways/WP2011_r118441>	WP2011	SREBF and miR33 in cholesterol and lipid homeostasis	18	9	2.13550887181237e-24	9	2.46566299267609e-24	9	1.24072959395602e-24	9	3.2680023184797e-24	9	2.11596035472688e-24	9	1.91356132615233e-24	9	5.57133284321839e-25	9	5.57133284321839e-25
<https://identifiers.org/wikipathways/WP2018_r120672>	WP2018	RANKL/RANK signaling pathway	55	21	1.70907804875918e-75	21	2.93841226672953e-75	21	2.20650900954111e-76	21	8.49779219766691e-75	21	1.65084392452098e-75	21	1.13004744489514e-75	21	1.07799521547759e-77	21	1.07799521547759e-77
<https://identifiers.org/wikipathways/WP2023_r117676>	WP2023	Cell differentiation - expanded index	68	5	5.89231386458575e-144	5	1.60434973435554e-143	5	1.33917927370939e-145	5	1.14209029560102e-142	5	5.52658174413897e-144	5	2.74276346412041e-144	5	5.04474388524771e-148	5	5.04474388524771e-148
<https://identifiers.org/wikipathways/WP2029_r120346>	WP2029	Cell differentiation - index	58	4	2.50521371959002e-127	4	5.91560739240025e-127	4	9.75292475785605e-129	4	3.18568696744131e-126	4	2.37122610408458e-127	4	1.30009284099603e-127	4	8.12821366943404e-131	4	8.12821366943404e-131
<https://identifiers.org/wikipathways/WP2032_r122774>	WP2032	Thyroid stimulating hormone (TSH) signaling pathway	64	24	3.32936925081549e-86	24	6.29655942549845e-86	24	2.99867891173897e-87	24	2.19481984064999e-85	24	3.19637827707749e-86	24	2.04690649309269e-86	24	8.61350017900154e-89	24	8.61350017900154e-89
<https://identifiers.org/wikipathways/WP2034_r120670>	WP2034	Leptin signaling pathway	76	27	3.20972426708422e-102	27	7.00189202371446e-102	27	1.6856250063608e-103	27	3.22853085819928e-101	27	3.05349420714298e-102	27	1.7695606178666e-102	27	2.18481335481144e-105	27	2.18481335481144e-105
<https://identifiers.org/wikipathways/WP2035_r120721>	WP2035	Follicle stimulating hormone (FSH) signaling pathway	27	6	1.07272857407607e-54	6	1.49973822867297e-54	6	3.02536797483791e-55	6	2.89197783308539e-54	6	1.04997839172294e-54	6	8.30612215345807e-55	6	4.67931219591277e-56	6	4.67931219591277e-56
<https://identifiers.org/wikipathways/WP2036_r120940>	WP2036	TNF-related weak inducer of apoptosis (TWEAK) signaling pathway	42	13	1.10563125524784e-68	13	1.75564464459479e-68	13	1.92745952935175e-69	13	4.34489986037617e-68	13	1.07340367692738e-68	13	7.76786713127503e-69	13	1.46647896670953e-70	13	1.46647896670953e-70
<https://identifiers.org/wikipathways/WP2037_r122570>	WP2037	Prolactin signaling pathway	76	36	8.25165200427422e-82	36	1.56056638027516e-81	36	7.43205483926576e-83	36	5.43973592976632e-81	36	7.92204145274784e-82	36	5.07314112489991e-82	36	2.13480694574409e-84	36	2.13480694574409e-84
<https://identifiers.org/wikipathways/WP2038_r117173>	WP2038	Microtubule cytoskeleton regulation	46	15	5.93456032995903e-72	15	9.72810409102197e-72	15	9.17441045142595e-73	15	2.56235063429712e-71	15	5.74986482840627e-72	15	4.06944032517634e-72	15	5.84654525582569e-74	15	5.84654525582569e-74
<https://identifiers.org/wikipathways/WP205_r120718>	WP205	IL-7 signaling pathway	25	14	6.24049308460976e-28	14	7.43895616414989e-28	14	3.21393363893687e-28	14	1.0495978834723e-27	14	6.17075580258889e-28	14	5.45731322644826e-28	14	1.2081291944651e-28	14	1.2081291944651e-28
<https://identifiers.org/wikipathways/WP2059_r119468>	WP2059	Alzheimer's disease and miRNA effects	280	87	1.85285818748486e-296	87	3.85442302455937e-295	87	1.93236496502742e-301	87	1.47272740125493e-292	87	1.5258436344602e-296	87	1.82563533723283e-297	87	8.56584905931846e-309	87	8.56584905931846e-309
<https://identifiers.org/wikipathways/WP206_r117723>	WP206	Fatty acid omega-oxidation	15	5	2.24547288690242e-28	5	2.63433574723475e-28	5	1.22829457365318e-28	5	3.60248441948495e-28	5	2.22264743143579e-28	5	1.98773213080464e-28	5	5.04636654104818e-29	5	5.04636654104818e-29
<https://identifiers.org/wikipathways/WP2064_r117162>	WP2064	Neural crest differentiation	101	29	3.34183890527324e-143	29	1.04896911412163e-142	29	4.43757143668854e-145	29	9.86670181262616e-142	29	3.10602378908133e-143	29	1.39550730550704e-143	29	7.56410812827662e-148	29	7.56410812827662e-148
<https://identifiers.org/wikipathways/WP2112_r117960>	WP2112	IL-17 signaling pathway	32	7	3.08217373945953e-63	7	4.59242995991739e-63	7	6.83367542624676e-64	7	1.00328162306377e-62	7	3.00454115641739e-63	7	2.27326446890851e-63	7	7.4123240846591e-65	7	7.4123240846591e-65
<https://identifiers.org/wikipathways/WP2113_r105848>	WP2113	Type III interferon signaling	10	5	4.35012171788489e-15	5	4.71192049846199e-15	5	3.21695228560015e-15	5	5.51052944154852e-15	5	4.32794612109808e-15	5	4.09275004554889e-15	5	2.06162008768117e-15	5	2.06162008768117e-15
<https://identifiers.org/wikipathways/WP2118_r119252>	WP2118	Arrhythmogenic right ventricular cardiomyopathy	74	25	3.95302883419858e-103	25	8.62338280815341e-103	25	2.07598027099176e-104	25	3.97619063588756e-102	25	3.76061918142867e-103	25	2.17935360305671e-103	25	2.69077013171533e-106	25	2.69077013171533e-106
<https://identifiers.org/wikipathways/WP2197_r117710>	WP2197	Endothelin pathways	33	12	1.28584398412583e-51	12	1.79768622343596e-51	12	3.62640774583902e-52	12	3.46651742925842e-51	12	1.25857409887853e-51	12	9.95627175461194e-52	12	5.60893555216746e-53	12	5.60893555216746e-53
<https://identifiers.org/wikipathways/WP22_r120719>	WP22	IL-9 signaling pathway	17	10	4.09142809131064e-19	10	4.5755335551346e-19	10	2.68179607325935e-19	10	5.69663676013752e-19	10	4.06226324331855e-19	10	3.75664831484179e-19	10	1.4385895150831e-19	10	1.4385895150831e-19
<https://identifiers.org/wikipathways/WP2203_r120724>	WP2203	Thymic stromal lymphopoietin (TSLP) signaling pathway	47	22	1.35836619056113e-56	22	2.02396169632074e-56	23	8.18925012778804e-55	22	4.42163210637207e-56	22	1.32415219582739e-56	23	2.5965757538449e-54	23	9.70646930659109e-56	22	3.26673681667536e-58
<https://identifiers.org/wikipathways/WP2249_r107453>	WP2249	Metastatic brain tumor	22	3	4.60123090081095e-52	3	6.23106996214099e-52	3	1.46363839919809e-52	3	1.12882717990695e-51	3	4.51283782190241e-52	3	3.65044366336572e-52	3	2.70349073446816e-53	3	2.70349073446816e-53
<https://identifiers.org/wikipathways/WP2253_r112071>	WP2253	Pilocytic astrocytoma	11	2	2.41573401788731e-27	2	2.78921153017656e-27	2	1.40354026465612e-27	2	3.69683520190006e-27	2	2.39362031077702e-27	2	2.16466213365647e-27	2	6.30241271857283e-28	2	6.30241271857283e-28
<https://identifiers.org/wikipathways/WP2261_r118379>	WP2261	Glioblastoma signaling pathways	83	34	2.47722402031127e-99	34	5.40397045523387e-99	34	1.30094375950476e-100	34	2.49173870611401e-98	34	2.35664766390886e-99	34	1.365724187878e-99	34	1.68621092407814e-102	34	1.68621092407814e-102
<https://identifiers.org/wikipathways/WP2267_r117179>	WP2267	Synaptic vesicle pathway	51	18	9.82729273944337e-75	18	1.66296144808948e-74	18	1.34727219089191e-75	18	4.6617636456028e-74	18	9.50209992918631e-75	18	6.57715743590604e-75	18	7.19168409431943e-77	18	7.19168409431943e-77
<https://identifiers.org/wikipathways/WP2272_r118427>	WP2272	Pathogenic Escherichia coli infection	71	23	3.60580332849196e-102	23	7.7422078155394e-102	23	2.01052143361814e-103	23	3.46070399353276e-101	23	3.43377528922568e-102	23	2.01212996950126e-102	23	2.84667739776987e-105	23	2.84667739776987e-105
<https://identifiers.org/wikipathways/WP2276_r117054>	WP2276	Glial cell differentiation	8	2	4.94051302428728e-19	2	5.4375633240575e-19	2	3.43967098166293e-19	2	6.56132576239643e-19	2	4.91030873734739e-19	2	4.59188830421729e-19	2	2.01674745676809e-19	2	2.01674745676809e-19
<https://identifiers.org/wikipathways/WP2289_r120498>	WP2289	Drug induction of bile acid pathway	17	8	1.06775443590619e-24	8	1.23283149633803e-24	8	6.2036479697801e-25	8	1.63400115923983e-24	8	1.05798017736345e-24	8	9.56780663076162e-25	8	2.78566642160919e-25	8	2.78566642160919e-25
<https://identifiers.org/wikipathways/WP229_r116612>	WP229	Irinotecan pathway	13	8	2.2216693059198e-14	8	2.40644511171452e-14	8	1.64294348871722e-14	8	2.814306107648e-14	8	2.21034391184653e-14	8	2.0902259161196e-14	8	1.05289883049431e-14	8	1.05289883049431e-14
