pathwayRes	pathway	pathwayTitle	TotalGenesinPW	GenesInPWs.rectum_Ensembl_BridgeDb_CD	probabilities.rectum_Ensembl_BridgeDb_CD	GenesInPWs.rectum_Ensembl_Hs_CD	probabilities.rectum_Ensembl_Hs_CD	GenesInPWs.rectum_Ensembl_PriID_BridgeDb_CD	probabilities.rectum_Ensembl_PriID_BridgeDb_CD	GenesInPWs.rectum_ENTREZ_BridgeDb_CD	probabilities.rectum_ENTREZ_BridgeDb_CD	GenesInPWs.rectum_ENTREZ_Hs_CD	probabilities.rectum_ENTREZ_Hs_CD	GenesInPWs.rectum_ENTREZ_PriID_BridgeDb_CD	probabilities.rectum_ENTREZ_PriID_BridgeDb_CD	GenesInPWs.rectum_HGNC_CD	probabilities.rectum_HGNC_CD	GenesInPWs.rectum_HGNC_PriID_BridgeDb_CD	probabilities.rectum_HGNC_PriID_BridgeDb_CD
<https://identifiers.org/wikipathways/WP15_r121694>	WP15	Selenium micronutrient network	89	16	1.93700282346775e-103	16	8.14726617383168e-103	16	5.68319022381654e-105	16	2.77900477982768e-101	16	1.93700282346775e-103	16	7.66955498452242e-103	16	6.04847736352768e-107	16	6.04847736352768e-107
<https://identifiers.org/wikipathways/WP1528_r121714>	WP1528	Physiological and pathological hypertrophy of the heart	24	2	4.99121865644148e-45	2	7.76583042480324e-45	2	1.68632029985075e-45	2	2.30264234239817e-44	2	4.99121865644148e-45	2	7.62274142200117e-45	2	4.17734319277944e-46	2	4.17734319277944e-46
<https://identifiers.org/wikipathways/WP1530_r118120>	WP1530	miRNA regulation of DNA damage response	96	5	2.47066622823424e-134	5	1.46203069848181e-133	5	3.13065978695632e-136	5	1.15252365617273e-131	5	2.47066622823424e-134	5	1.35669040270833e-133	5	1.12815894478852e-138	5	1.12815894478852e-138
<https://identifiers.org/wikipathways/WP1531_r118354>	WP1531	Vitamin D metabolism	11	2	3.86815221665368e-21	2	4.63947936676791e-21	2	2.47570068514584e-21	2	7.25546662568996e-21	2	3.86815221665368e-21	2	4.60412346981535e-21	2	1.39488857384204e-21	2	1.39488857384204e-21
<https://identifiers.org/wikipathways/WP1533_r121695>	WP1533	Vitamin B12 metabolism	57	15	8.26876647952723e-66	15	1.90956312006521e-65	15	1.05902667073942e-66	15	1.49425071684543e-64	15	8.26876647952723e-66	15	1.84349915709758e-65	15	7.52712270494903e-68	15	7.52712270494903e-68
<https://identifiers.org/wikipathways/WP1539_r118358>	WP1539	Angiogenesis	24	2	4.99121865644148e-45	2	7.76583042480324e-45	2	1.68632029985075e-45	2	2.30264234239817e-44	2	4.99121865644148e-45	2	7.62274142200117e-45	2	4.17734319277944e-46	2	4.17734319277944e-46
<https://identifiers.org/wikipathways/WP1544_r121713>	WP1544	MicroRNAs in cardiomyocyte hypertrophy	104	5	3.33565094578016e-143	5	2.29374818842266e-142	5	2.92104052212907e-145	5	2.61357047397411e-140	5	3.33565094578016e-143	5	2.11508487555565e-142	5	6.5342450359827e-148	5	6.5342450359827e-148
<https://identifiers.org/wikipathways/WP1545_r118363>	WP1545	miRNAs involved in DNA damage response	69	2	8.62787990007413e-110	2	3.23514012480715e-109	2	3.35766120028993e-111	2	8.32339085250156e-108	2	8.62787990007413e-110	2	3.06019711563679e-109	2	5.14325363055863e-113	2	5.14325363055863e-113
<https://identifiers.org/wikipathways/WP1559_r117836>	WP1559	Transcription factors regulate miRNAs related to cardiac hypertrophy	14	1	7.97402561436775e-30	1	1.03644928467633e-29	1	4.18976409189123e-30	1	1.97499880960331e-29	1	7.97402561436775e-30	1	1.02507895497102e-29	1	1.83165800232028e-30	1	1.83165800232028e-30
<https://identifiers.org/wikipathways/WP1584_r122869>	WP1584	Type II diabetes mellitus	22	3	5.41934369184043e-39	3	7.94247819380062e-39	3	2.12056779295109e-39	3	2.03307500682014e-38	3	5.41934369184043e-39	3	7.81577199255606e-39	3	6.34536069876172e-40	3	6.34536069876172e-40
<https://identifiers.org/wikipathways/WP1589_r122870>	WP1589	Folate-alcohol and cancer pathway hypotheses	9	1	8.46773685245642e-20	1	9.95379209597464e-20	1	5.69411157583549e-20	1	1.48143436739087e-19	1	8.46773685245642e-20	1	9.88630875973075e-20	1	3.41874508643468e-20	1	3.41874508643468e-20
<https://identifiers.org/wikipathways/WP1591_r118366>	WP1591	Heart development	47	3	7.49757974551156e-78	3	1.80057564476127e-77	3	8.72221347757458e-79	3	1.55115026786018e-76	3	7.49757974551156e-78	3	1.73542323656269e-77	3	5.47735753362704e-80	3	5.47735753362704e-80
<https://identifiers.org/wikipathways/WP1600_r119518>	WP1600	Nicotine metabolism in liver cells	6	4	2.09553985297692e-05	4	2.18220542408977e-05	4	1.89716601340917e-05	4	2.41091663050289e-05	4	2.09553985297692e-05	4	2.17848786800106e-05	4	1.66950482486891e-05	4	1.66950482486891e-05
<https://identifiers.org/wikipathways/WP1601_r120496>	WP1601	Fluoropyrimidine activity	34	2	3.18558236797802e-61	2	6.04336639261088e-61	2	6.61380135165845e-62	2	2.91702405600181e-60	2	3.18558236797802e-61	2	5.88274535892017e-61	2	8.75532604885219e-63	2	8.75532604885219e-63
<https://identifiers.org/wikipathways/WP1603_r117164>	WP1603	Nicotine effect on chromaffin cells	4	1	1.39935883337357e-08	1	1.48702243549559e-08	1	1.20550660105429e-08	1	1.72670841933958e-08	1	1.39935883337357e-08	1	1.48322578246882e-08	1	9.9523387473559e-09	1	9.9523387473559e-09
<https://identifiers.org/wikipathways/WP1604_r118374>	WP1604	Codeine and morphine metabolism	17	4	1.35558435444253e-27	4	1.76196378394977e-27	4	7.12259895621513e-28	4	3.35749797632566e-27	4	1.35558435444253e-27	4	1.74263422345074e-27	4	3.11381860394446e-28	4	3.11381860394446e-28
<https://identifiers.org/wikipathways/WP167_r120547>	WP167	Eicosanoid synthesis	28	4	1.37660552460482e-46	4	2.22879218894818e-46	4	4.21806686613612e-47	4	7.28748486529965e-46	4	1.37660552460482e-46	4	2.18406726207967e-46	4	9.21469784865575e-48	4	9.21469784865575e-48
<https://identifiers.org/wikipathways/WP170_r116552>	WP170	Nuclear receptors	38	1	4.00913405776155e-70	1	8.39324191076137e-70	1	6.53442081603714e-71	1	5.16092292826698e-69	1	4.00913405776155e-70	1	8.13637677370728e-70	1	6.33469445200312e-72	1	6.33469445200312e-72
<https://identifiers.org/wikipathways/WP1742_r116592>	WP1742	TP53 network	22	1	2.20083808148162e-44	1	3.35675206405441e-44	1	7.80839617104804e-45	1	9.47754239479835e-44	1	2.20083808148162e-44	1	3.29766422386575e-44	1	2.05991452368579e-45	1	2.05991452368579e-45
<https://identifiers.org/wikipathways/WP176_r121696>	WP176	Folate metabolism	75	13	1.27588007895806e-92	13	4.34548681176025e-92	13	6.28932624770364e-94	13	8.82921637029876e-91	13	1.27588007895806e-92	13	4.12715603191486e-92	13	1.30655226266786e-95	13	1.30655226266786e-95
<https://identifiers.org/wikipathways/WP1772_r120736>	WP1772	Apoptosis modulation and signaling	97	12	2.68412678781945e-120	12	1.41827074076676e-119	12	4.49380919162169e-122	12	8.46786151367444e-118	12	2.68412678781945e-120	12	1.32236540030118e-119	12	2.31974978969734e-124	12	2.31974978969734e-124
<https://identifiers.org/wikipathways/WP179_r122978>	WP179	Cell cycle	120	5	3.15775541847809e-160	5	2.92399935424255e-159	5	1.3295145691274e-162	5	6.91172164787616e-157	5	3.15775541847809e-160	5	2.66272513066979e-159	5	1.15540376299333e-165	5	1.15540376299333e-165
<https://identifiers.org/wikipathways/WP183_r117060>	WP183	Proteasome degradation	65	13	4.02990039646099e-80	13	1.13108880516039e-79	13	3.19604614466929e-81	13	1.42906033663627e-78	14	3.58948985313343e-78	13	1.08303601278428e-79	13	1.22530873809547e-82	13	1.22530873809547e-82
<https://identifiers.org/wikipathways/WP185_r116785>	WP185	Integrin-mediated cell adhesion	101	4	2.55395163145075e-142	4	1.69164936561314e-141	4	2.45241977786258e-144	4	1.75831590452702e-139	4	2.55395163145075e-142	4	1.56234283412026e-141	4	6.17888823045455e-147	4	6.17888823045455e-147
<https://identifiers.org/wikipathways/WP1946_r122878>	WP1946	Cori cycle	23	4	3.11612262280828e-38	4	4.56692496143529e-38	4	1.21932648094689e-38	4	1.16901812892158e-37	4	3.11612262280828e-38	4	4.49406889571975e-38	4	3.64858240178799e-39	4	3.64858240178799e-39
<https://identifiers.org/wikipathways/WP195_r120702>	WP195	IL-1 signaling pathway	55	4	2.00715216171864e-86	4	5.52513244197555e-86	4	1.66970718829384e-87	4	6.65531549256313e-85	4	2.00715216171864e-86	4	5.29473035322621e-86	4	6.80757120221219e-89	4	6.80757120221219e-89
<https://identifiers.org/wikipathways/WP197_r120482>	WP197	Cholesterol biosynthesis pathway	15	9	1.21593677513573e-12	9	1.37284405174578e-12	9	9.02713511226724e-13	9	1.85035232604273e-12	9	1.21593677513573e-12	9	1.36585163722078e-12	9	6.15535238165215e-13	9	6.15535238165215e-13
<https://identifiers.org/wikipathways/WP1971_r117762>	WP1971	Integrated cancer pathway	49	4	3.5553039438394e-78	4	8.70673091381306e-78	4	3.9420918714941e-79	4	7.86951128129243e-77	4	3.5553039438394e-78	4	8.38478934345833e-78	4	2.32708542613632e-80	4	2.32708542613632e-80
<https://identifiers.org/wikipathways/WP1982_r116442>	WP1982	Sterol regulatory element-binding proteins (SREBP) signaling	69	12	3.56176884581031e-87	12	1.10145280128259e-86	12	2.22597837037122e-88	12	1.76562997334263e-85	12	3.56176884581031e-87	12	1.05036833450218e-86	12	6.27845626365594e-90	12	6.27845626365594e-90
<https://identifiers.org/wikipathways/WP1995_r116455>	WP1995	Effects of nitric oxide	8	2	6.8024434972629e-15	2	7.68024644333305e-15	2	5.05014551735233e-15	2	1.03516214044349e-14	2	6.8024434972629e-15	2	7.64112804039599e-15	2	3.44355377994527e-15	2	3.44355377994527e-15
<https://identifiers.org/wikipathways/WP2011_r118441>	WP2011	SREBF and miR33 in cholesterol and lipid homeostasis	18	3	6.6718668881366e-32	3	9.02664649065984e-32	3	3.17703293238933e-32	3	1.89821418483255e-31	3	6.6718668881366e-32	3	8.91257766390336e-32	3	1.22379688816691e-32	3	1.22379688816691e-32
<https://identifiers.org/wikipathways/WP2018_r120672>	WP2018	RANKL/RANK signaling pathway	55	7	1.84445802751576e-79	7	4.78927857009502e-79	7	1.77112942488478e-80	7	4.99813489929578e-78	7	1.84445802751576e-79	7	4.60084793782918e-79	7	8.68719179266805e-82	7	8.68719179266805e-82
<https://identifiers.org/wikipathways/WP2023_r117676>	WP2023	Cell differentiation - expanded index	68	2	1.57802672954986e-108	2	5.8044977891467e-108	2	6.43795038838199e-110	2	1.42462675315999e-106	2	1.57802672954986e-108	2	5.49504960329548e-108	2	1.04803110211091e-111	2	1.04803110211091e-111
<https://identifiers.org/wikipathways/WP2029_r120346>	WP2029	Cell differentiation - index	58	2	1.46703886668009e-95	2	4.44975212073031e-95	2	9.6151757360989e-97	2	6.80186719215408e-94	2	1.46703886668009e-95	2	4.24683182857974e-95	2	2.88343291468867e-98	2	2.88343291468867e-98
<https://identifiers.org/wikipathways/WP2032_r122774>	WP2032	Thyroid stimulating hormone (TSH) signaling pathway	64	4	2.67306193577839e-98	4	8.75964424557203e-98	4	1.44870365803973e-99	4	1.61898041895655e-96	4	2.67306193577839e-98	4	8.33303819465104e-98	4	3.4006912603292e-101	4	3.4006912603292e-101
<https://identifiers.org/wikipathways/WP2034_r120670>	WP2034	Leptin signaling pathway	76	6	1.30761219133396e-108	6	5.19330875275779e-108	6	4.41779240941643e-110	6	1.53872916412944e-106	6	1.30761219133396e-108	6	4.90061019181331e-108	6	5.63957031524025e-112	6	5.63957031524025e-112
<https://identifiers.org/wikipathways/WP2036_r120940>	WP2036	TNF-related weak inducer of apoptosis (TWEAK) signaling pathway	42	6	1.84283535368343e-63	6	3.78287441674128e-63	6	3.15232418155733e-64	6	2.21629693656142e-62	6	1.84283535368343e-63	6	3.67013974869263e-63	6	3.25214091205834e-65	6	3.25214091205834e-65
<https://identifiers.org/wikipathways/WP2037_r122570>	WP2037	Prolactin signaling pathway	76	7	2.36304203148201e-106	7	9.20699451738924e-106	7	8.36856104983753e-108	7	2.60265047189898e-104	7	2.36304203148201e-106	7	8.69508265461729e-106	7	1.1351649391677e-109	7	1.1351649391677e-109
<https://identifiers.org/wikipathways/WP2038_r117173>	WP2038	Microtubule cytoskeleton regulation	46	2	4.78568919926284e-79	2	1.14930360303913e-78	2	5.56737030483492e-80	2	9.90095915655449e-78	2	4.78568919926284e-79	2	1.10771695950811e-78	2	3.49618565976207e-81	2	3.49618565976207e-81
<https://identifiers.org/wikipathways/WP205_r120718>	WP205	IL-7 signaling pathway	25	3	4.15934888036791e-44	3	6.4715253540027e-44	3	1.40526691654231e-44	3	1.91886861866512e-43	3	4.15934888036791e-44	3	6.35228451833438e-44	3	3.48111932731617e-45	3	3.48111932731617e-45
<https://identifiers.org/wikipathways/WP2059_r119468>	WP2059	Alzheimer's disease and miRNA effects	280	21	1.10135118285065e-263	21	1.27269849209014e-261	21	9.19730768462061e-269	21	1.45073260108666e-256	21	1.10135118285065e-263	21	1.04234984816895e-261	21	2.53297809675962e-275	21	2.53297809675962e-275
<https://identifiers.org/wikipathways/WP206_r117723>	WP206	Fatty acid omega-oxidation	15	2	5.98051921077587e-29	2	7.77336963507248e-29	2	3.14232306891842e-29	2	1.48124910720249e-28	2	5.98051921077587e-29	2	7.68809216228266e-29	2	1.37374350174021e-29	2	1.37374350174021e-29
<https://identifiers.org/wikipathways/WP2064_r117162>	WP2064	Neural crest differentiation	101	5	6.59941101566876e-140	5	4.29002279119496e-139	5	6.63624791889601e-142	5	4.25864112076467e-137	5	6.59941101566876e-140	5	3.96522611299723e-139	5	1.77457669978655e-144	5	1.77457669978655e-144
<https://identifiers.org/wikipathways/WP2112_r117960>	WP2112	IL-17 signaling pathway	32	4	5.33663223723615e-53	4	9.35403887768288e-53	4	1.3455986717835e-53	4	3.71730560772709e-52	4	5.33663223723615e-53	4	9.13577797053705e-53	4	2.287419338134e-54	4	2.287419338134e-54
<https://identifiers.org/wikipathways/WP2113_r105848>	WP2113	Type III interferon signaling	10	2	4.23386842622816e-19	2	4.97689604798731e-19	2	2.84705578791774e-19	2	7.40717183695431e-19	2	4.23386842622816e-19	2	4.94315437986536e-19	2	1.70937254321734e-19	2	1.70937254321734e-19
<https://identifiers.org/wikipathways/WP2118_r119252>	WP2118	Arrhythmogenic right ventricular cardiomyopathy	74	3	2.17446111471511e-113	3	8.80296423893187e-113	3	7.00875327714522e-115	3	2.73369604997455e-111	3	2.17446111471511e-113	3	8.30014005472906e-113	3	8.42041107165414e-117	3	8.42041107165414e-117
<https://identifiers.org/wikipathways/WP2197_r117710>	WP2197	Endothelin pathways	33	3	4.6981156150138e-57	3	8.56739614109177e-57	3	1.07484387190047e-57	3	3.75257985839593e-56	3	4.6981156150138e-57	3	8.35356761843552e-57	3	1.61224178997824e-58	3	1.61224178997824e-58
<https://identifiers.org/wikipathways/WP22_r120719>	WP22	IL-9 signaling pathway	17	2	1.11197781468943e-32	2	1.50444108177663e-32	2	5.29505488731549e-33	2	3.16369030805419e-32	2	1.11197781468943e-32	2	1.48542961065056e-32	2	2.03966148027819e-33	2	2.03966148027819e-33
<https://identifiers.org/wikipathways/WP2203_r120724>	WP2203	Thymic stromal lymphopoietin (TSLP) signaling pathway	47	9	4.43069188645514e-64	9	9.45992052396786e-64	10	8.90412293804338e-63	9	6.10462431910925e-63	9	4.43069188645514e-64	10	1.10870268540901e-61	9	6.26867536591019e-66	10	8.63196597885846e-64
<https://identifiers.org/wikipathways/WP2249_r107453>	WP2249	Metastatic brain tumor	22	1	2.20083808148162e-44	1	3.35675206405441e-44	1	7.80839617104804e-45	1	9.47754239479835e-44	1	2.20083808148162e-44	1	3.29766422386575e-44	1	2.05991452368579e-45	1	2.05991452368579e-45
<https://identifiers.org/wikipathways/WP2261_r118379>	WP2261	Glioblastoma signaling pathways	83	3	2.99642892953959e-124	3	1.44010268593697e-123	3	6.33379958937343e-126	3	6.81382536641454e-122	3	2.99642892953959e-124	3	1.34808334498245e-123	3	4.41657965483428e-128	3	4.41657965483428e-128
<https://identifiers.org/wikipathways/WP2267_r117179>	WP2267	Synaptic vesicle pathway	51	3	1.89283344220288e-83	3	4.91488909276579e-83	3	1.81758161794917e-84	3	5.12922318908542e-82	3	1.89283344220288e-83	3	4.72151640714887e-83	3	8.91503460566096e-86	3	8.91503460566096e-86
<https://identifiers.org/wikipathways/WP2272_r118427>	WP2272	Pathogenic Escherichia coli infection	71	3	1.13171187921269e-109	3	4.3257052516254e-109	3	4.20130316350482e-111	3	1.16658918603867e-107	3	1.13171187921269e-109	3	4.08848915718147e-109	3	6.055903943112e-113	3	6.055903943112e-113
<https://identifiers.org/wikipathways/WP2276_r117054>	WP2276	Glial cell differentiation	8	1	1.13185415927834e-17	1	1.30394676457269e-17	1	7.99706336872898e-18	1	1.84685484468063e-17	1	1.13185415927834e-17	1	1.29620492627582e-17	1	5.11672181269725e-18	1	5.11672181269725e-18
<https://identifiers.org/wikipathways/WP2289_r120498>	WP2289	Drug induction of bile acid pathway	17	4	1.35558435444253e-27	4	1.76196378394977e-27	4	7.12259895621513e-28	4	3.35749797632566e-27	4	1.35558435444253e-27	4	1.74263422345074e-27	4	3.11381860394446e-28	4	3.11381860394446e-28
<https://identifiers.org/wikipathways/WP229_r116612>	WP229	Irinotecan pathway	13	2	4.15234853256522e-25	2	5.1847339016649e-25	2	2.40775567219621e-25	2	8.95099085494371e-25	2	4.15234853256522e-25	2	5.13652420350907e-25	2	1.1948637812336e-25	2	1.1948637812336e-25
<https://identifiers.org/wikipathways/WP2291_r117696>	WP2291	Deregulation of Rab and Rab effector genes in bladder cancer	16	1	1.30820919375229e-33	1	1.7699306844431e-33	1	6.22947633801837e-34	1	3.72198859771085e-33	1	1.30820919375229e-33	1	1.74756424782419e-33	1	2.39960174150376e-34	1	2.39960174150376e-34
<https://identifiers.org/wikipathways/WP23_r120701>	WP23	B cell receptor signaling pathway	97	2	5.216750014529e-143	2	3.32816478164796e-142	2	5.49373744701861e-145	2	3.15518638973601e-140	2	5.216750014529e-143	2	3.07861809320559e-142	2	1.55924831107226e-147	2	1.55924831107226e-147
<https://identifiers.org/wikipathways/WP231_r120699>	WP231	TNF-alpha signaling pathway	93	11	8.10403324930771e-118	11	4.04554340356671e-117	11	1.56032691978463e-119	11	2.10102257205466e-115	11	8.10403324930771e-118	11	3.78100228786306e-117	11	9.64589321290847e-122	11	9.64589321290847e-122
<https://identifiers.org/wikipathways/WP2324_r120674>	WP2324	AGE/RAGE pathway	66	11	2.12949100213309e-85	11	6.33515523552095e-85	11	1.46375348153996e-86	11	9.23402167262503e-84	11	2.12949100213309e-85	11	6.05118332194822e-85	11	4.66724865326928e-88	11	4.66724865326928e-88
<https://identifiers.org/wikipathways/WP2328_r120805>	WP2328	Allograft rejection	102	25	5.84033936579543e-102	25	2.65124160975246e-101	26	7.28267212776703e-102	25	1.09053123774165e-99	25	5.84033936579543e-102	26	1.1950981410115e-99	25	1.18697242481421e-105	26	6.4644344366804e-104
<https://identifiers.org/wikipathways/WP2332_r120725>	WP2332	Interleukin-11 signaling pathway	44	7	4.04295511267288e-64	7	8.46404729952054e-64	8	1.06503524134044e-62	7	5.20446047408976e-63	7	4.04295511267288e-64	8	1.23998292937976e-61	7	6.38813393440039e-66	8	1.09875903671686e-63
<https://identifiers.org/wikipathways/WP2355_r120664>	WP2355	Corticotropin-releasing hormone signaling pathway	92	4	3.28766503377284e-132	4	1.8385093467877e-131	5	1.28695820477582e-131	4	1.26151777247139e-129	4	3.28766503377284e-132	5	4.30946590887027e-129	4	2.06457720825904e-136	5	5.8923033523713e-134
<https://identifiers.org/wikipathways/WP2359_r119918>	WP2359	Parkin-ubiquitin proteasomal system pathway	73	4	1.17647896304226e-109	4	4.58385217793215e-109	4	4.16642442026065e-111	4	1.29577192768794e-107	4	1.17647896304226e-109	4	4.32898851936834e-109	4	5.65160353781897e-113	4	5.65160353781897e-113
<https://identifiers.org/wikipathways/WP236_r105873>	WP236	Adipogenesis	131	16	2.29356338008785e-148	16	2.12378001255208e-147	16	9.65662480127688e-151	16	5.02017083785726e-145	16	2.29356338008785e-148	16	1.93400945975999e-147	16	8.39201080777332e-154	16	8.39201080777332e-154
<https://identifiers.org/wikipathways/WP2361_r117731>	WP2361	Gastric cancer network 1	29	2	2.63173436537895e-53	2	4.52237605417007e-53	2	6.96672860713736e-54	2	1.71175927581623e-52	2	2.63173436537895e-53	2	4.42053772767913e-53	2	1.26084767549563e-54	2	1.26084767549563e-54
<https://identifiers.org/wikipathways/WP2363_r117737>	WP2363	Gastric cancer network 2	32	1	6.96739672996269e-61	1	1.2959304403406e-60	1	1.51846277022035e-61	1	5.95884058498765e-60	1	6.96739672996269e-61	1	1.26253572408911e-60	1	2.13967059054837e-62	1	2.13967059054837e-62
<https://identifiers.org/wikipathways/WP2369_r118380>	WP2369	Histone modifications	67	1	4.64125508691094e-110	1	1.70720523210199e-109	1	1.89351482011229e-111	1	4.19007868576466e-108	1	4.64125508691094e-110	1	1.61619105979283e-109	1	3.08244441797322e-113	1	3.08244441797322e-113
<https://identifiers.org/wikipathways/WP2371_r119919>	WP2371	Parkinson's disease pathway	47	4	2.32237532617232e-75	4	5.4692485209626e-75	4	2.83471938021177e-76	4	4.49058002545524e-74	4	2.32237532617232e-75	4	5.27568663915071e-75	4	1.8937963672516e-77	4	1.8937963672516e-77
<https://identifiers.org/wikipathways/WP2374_r120781>	WP2374	Oncostatin M signaling pathway	65	14	3.58948985313343e-78	14	9.88086863365104e-78	14	2.98602025516245e-79	14	1.19020310894131e-76	14	3.58948985313343e-78	14	9.46882914034252e-78	14	1.21743175335055e-80	14	1.21743175335055e-80
