pathwayRes	pathway	pathwayTitle	TotalGenesinPW	GenesInPWs.ileum_Ensembl_BridgeDb_CD	probabilities.ileum_Ensembl_BridgeDb_CD	GenesInPWs.ileum_Ensembl_Hs_CD	probabilities.ileum_Ensembl_Hs_CD	GenesInPWs.ileum_Ensembl_PriID_BridgeDb_CD	probabilities.ileum_Ensembl_PriID_BridgeDb_CD	GenesInPWs.ileum_ENTREZ_BridgeDb_CD	probabilities.ileum_ENTREZ_BridgeDb_CD	GenesInPWs.ileum_ENTREZ_Hs_CD	probabilities.ileum_ENTREZ_Hs_CD	GenesInPWs.ileum_ENTREZ_PriID_BridgeDb_CD	probabilities.ileum_ENTREZ_PriID_BridgeDb_CD	GenesInPWs.ileum_HGNC_CD	probabilities.ileum_HGNC_CD	GenesInPWs.ileum_HGNC_PriID_BridgeDb_CD	probabilities.ileum_HGNC_PriID_BridgeDb_CD
<https://identifiers.org/wikipathways/WP1539_r118358>	WP1539	Angiogenesis	24	10	9.94809657704991e-29	10	1.27595256044367e-28	10	4.43947661104607e-29	10	3.21973246923259e-28	10	9.78591779218959e-29	10	1.435304132741e-28	10	2.08552756996318e-29	10	2.08552756996318e-29
<https://identifiers.org/wikipathways/WP1541_r117711>	WP1541	Energy metabolism	47	3	1.99334194564169e-84	3	4.32843568691597e-84	3	1.61286036696366e-85	3	7.72992162553449e-83	3	1.8938321132177e-84	3	6.24503550163201e-84	3	1.52973268383357e-86	3	1.52973268383357e-86
<https://identifiers.org/wikipathways/WP1544_r121713>	WP1544	MicroRNAs in cardiomyocyte hypertrophy	104	9	3.42679662845231e-148	9	1.78390254497243e-147	9	1.62296347956059e-150	9	8.18884200284917e-145	9	3.07299907832444e-148	9	3.89078416327434e-147	9	1.07397362706247e-152	9	1.07397362706247e-152
<https://identifiers.org/wikipathways/WP1545_r118363>	WP1545	miRNAs involved in DNA damage response	69	2	1.00422914276761e-119	2	3.24493384264783e-119	2	2.2370667674097e-121	2	2.53652385434614e-117	2	9.29372071977506e-120	2	5.64937031224198e-119	2	6.32991987653062e-123	2	6.32991987653062e-123
<https://identifiers.org/wikipathways/WP1584_r122869>	WP1584	Type II diabetes mellitus	22	1	1.51100005176967e-47	1	2.19316758113179e-47	1	4.51540382044357e-48	1	8.76501569803979e-47	1	1.47427572558972e-47	1	2.61562642611399e-47	1	1.4569613002299e-48	1	1.4569613002299e-48
<https://identifiers.org/wikipathways/WP1589_r122870>	WP1589	Folate-alcohol and cancer pathway hypotheses	9	1	5.21430990371474e-21	1	6.01277451794975e-21	1	3.28564653256124e-21	1	1.02142518135732e-20	1	5.16547846901553e-21	1	6.43180516175554e-21	1	2.13217362294992e-21	1	2.13217362294992e-21
<https://identifiers.org/wikipathways/WP1591_r118366>	WP1591	Heart development	47	4	8.66605410867746e-82	4	1.84932414723489e-81	4	7.41915768803284e-83	4	3.09583361102658e-80	4	8.24290427278025e-82	4	2.64633379381664e-81	4	7.41920351659334e-84	4	7.41920351659334e-84
<https://identifiers.org/wikipathways/WP1600_r119518>	WP1600	Nicotine metabolism in liver cells	6	1	5.10087663284958e-14	1	5.57638878899941e-14	1	3.82100275355155e-14	1	7.76817270242475e-14	1	5.07094197286457e-14	1	5.81642006677515e-14	1	2.91546797249452e-14	1	2.91546797249452e-14
<https://identifiers.org/wikipathways/WP1601_r120496>	WP1601	Fluoropyrimidine activity	34	1	5.8178455778344e-69	1	1.04264518275675e-68	1	8.77474964713104e-70	1	9.12363927552419e-68	1	5.59794701461703e-69	1	1.37381610345768e-68	1	1.49192892114763e-70	1	1.49192892114763e-70
<https://identifiers.org/wikipathways/WP1602_r117165>	WP1602	Nicotine effect on dopaminergic neurons	21	3	5.77407969083068e-40	3	7.94872457920117e-40	3	2.04866083881391e-40	3	2.60915325531949e-39	3	5.65347559529853e-40	3	9.2455122721665e-40	3	7.76355226248898e-41	3	7.76355226248898e-41
<https://identifiers.org/wikipathways/WP167_r120547>	WP167	Eicosanoid synthesis	28	4	3.36789184289053e-50	4	5.15368216335023e-50	4	8.47933157731652e-51	4	2.50680325739565e-49	4	3.27458681665794e-50	4	6.30191438333841e-50	4	2.33016244282508e-51	4	2.33016244282508e-51
<https://identifiers.org/wikipathways/WP170_r116552>	WP170	Nuclear receptors	38	2	9.9529058420668e-73	2	1.8798179718122e-72	2	1.26618073436896e-73	2	1.99915662261611e-71	2	9.54357597823368e-73	2	2.53911233211064e-72	2	1.83538550754607e-74	2	1.83538550754607e-74
<https://identifiers.org/wikipathways/WP1742_r116592>	WP1742	TP53 network	22	1	1.51100005176967e-47	1	2.19316758113179e-47	1	4.51540382044357e-48	1	8.76501569803979e-47	1	1.47427572558972e-47	1	2.61562642611399e-47	1	1.4569613002299e-48	1	1.4569613002299e-48
<https://identifiers.org/wikipathways/WP176_r121696>	WP176	Folate metabolism	75	12	5.83948231852192e-104	12	1.76152843812852e-103	12	1.62603000415048e-105	12	1.06670780019668e-101	12	5.42879610533032e-104	12	2.96874343035479e-103	12	5.67216610650785e-107	12	5.67216610650785e-107
<https://identifiers.org/wikipathways/WP1772_r120736>	WP1772	Apoptosis modulation and signaling	97	11	5.37986369390038e-135	11	2.40459222712219e-134	11	4.18028724309756e-137	11	6.268412041375e-132	11	4.87326378251843e-135	11	4.88000354009089e-134	11	4.4027604423477e-139	11	4.4027604423477e-139
<https://identifiers.org/wikipathways/WP179_r122978>	WP179	Cell cycle	120	9	1.8575570661709e-167	9	1.26564465039054e-166	9	3.67027433142653e-170	9	1.57703666146004e-163	9	1.63641433842307e-167	9	3.13476685406076e-166	9	1.06872909083537e-172	9	1.06872909083537e-172
<https://identifiers.org/wikipathways/WP183_r117060>	WP183	Proteasome degradation	65	9	1.31402818439148e-96	9	3.51320726766177e-96	9	5.41333687533018e-98	9	1.35889290267807e-94	9	1.23139207081253e-96	9	5.59259173987315e-96	9	2.72660210424891e-99	9	2.72660210424891e-99
<https://identifiers.org/wikipathways/WP185_r116785>	WP185	Integrin-mediated cell adhesion	101	10	3.20902450634708e-142	10	1.56123949366406e-141	10	1.89332553605146e-144	10	5.5752669933198e-139	10	2.89060438363945e-142	10	3.29799461429864e-141	10	1.53992078411643e-146	10	1.53992078411643e-146
<https://identifiers.org/wikipathways/WP186_r118416>	WP186	Homologous recombination	13	3	5.1329720390952e-24	3	6.13296782087275e-24	3	2.88265004099145e-24	3	1.18893343036624e-23	3	5.0729904041027e-24	3	6.67146470141401e-24	3	1.67946409367207e-24	3	1.67946409367207e-24
<https://identifiers.org/wikipathways/WP195_r120702>	WP195	IL-1 signaling pathway	55	7	1.26654936878303e-86	7	2.94820446863798e-86	7	8.1790144994655e-88	7	6.81632832213129e-85	7	1.19780990802259e-86	7	4.39572010219074e-86	7	6.27921853426977e-89	7	6.27921853426977e-89
<https://identifiers.org/wikipathways/WP1971_r117762>	WP1971	Integrated cancer pathway	49	5	2.3441701280747e-82	5	5.09024036781337e-82	5	1.89672379154924e-83	5	9.09038783162833e-81	5	2.22714656514392e-82	5	7.34416174991947e-82	5	1.79896563618833e-84	5	1.79896563618833e-84
<https://identifiers.org/wikipathways/WP1982_r116442>	WP1982	Sterol regulatory element-binding proteins (SREBP) signaling	69	6	2.67962540754303e-109	6	8.08331304291655e-109	6	7.46153695633038e-111	6	4.8949156242241e-107	6	2.49116945351007e-109	6	1.3622988974936e-108	6	2.60284723640538e-112	6	2.60284723640538e-112
<https://identifiers.org/wikipathways/WP1991_r117830>	WP1991	SRF and miRs in smooth muscle differentiation and proliferation	17	1	7.07326209264537e-38	1	9.39903810824989e-38	1	2.81436879314797e-38	1	2.7052799541997e-37	1	6.94170762202852e-38	1	1.07512563284822e-37	1	1.18738959336519e-38	1	1.18738959336519e-38
<https://identifiers.org/wikipathways/WP1992_r105839>	WP1992	Genes targeted by miRNAs in adipocytes	13	3	5.1329720390952e-24	3	6.13296782087275e-24	3	2.88265004099145e-24	3	1.18893343036624e-23	3	5.0729904041027e-24	3	6.67146470141401e-24	3	1.67946409367207e-24	3	1.67946409367207e-24
<https://identifiers.org/wikipathways/WP1995_r116455>	WP1995	Effects of nitric oxide	8	3	4.76081819065963e-13	3	5.20462953639944e-13	3	3.56626923664813e-13	3	7.25029452226311e-13	3	4.7328791746736e-13	3	5.42865872899012e-13	3	2.72110344099487e-13	3	2.72110344099487e-13
<https://identifiers.org/wikipathways/WP2007_r106626>	WP2007	Iron metabolism in placenta	12	2	1.18453200902199e-24	2	1.41530026635527e-24	2	6.65226932536489e-25	2	2.74369253161439e-24	2	1.17069009325448e-24	2	1.53956877724938e-24	2	3.87568637001251e-25	2	3.87568637001251e-25
<https://identifiers.org/wikipathways/WP2011_r118441>	WP2011	SREBF and miR33 in cholesterol and lipid homeostasis	18	2	6.36593588338078e-37	2	8.45913429742497e-37	2	2.5329319138332e-37	2	2.43475195877972e-36	2	6.24753685982565e-37	2	9.67613069563381e-37	2	1.06865063402868e-37	2	1.06865063402868e-37
<https://identifiers.org/wikipathways/WP2018_r120672>	WP2018	RANKL/RANK signaling pathway	55	4	5.00558990695236e-94	4	1.22739590324576e-93	4	2.73039393264164e-95	4	3.44280028612242e-92	4	4.71768156273077e-94	4	1.87558406752482e-93	4	1.78935495223003e-96	4	1.78935495223003e-96
<https://identifiers.org/wikipathways/WP2032_r122774>	WP2032	Thyroid stimulating hormone (TSH) signaling pathway	64	6	3.31746112456581e-102	6	9.18126510698789e-102	6	1.2217914594966e-103	6	4.03727680889228e-100	6	3.10175022728556e-102	6	1.48559478995502e-101	6	5.54003033390586e-105	6	5.54003033390586e-105
<https://identifiers.org/wikipathways/WP2034_r120670>	WP2034	Leptin signaling pathway	76	11	1.72024648382733e-107	11	5.37085466748222e-107	11	4.28414415820266e-109	11	3.69548070841757e-105	11	1.59563336538783e-107	11	9.19996333083133e-107	11	1.3458916965353e-110	11	1.3458916965353e-110
<https://identifiers.org/wikipathways/WP2035_r120721>	WP2035	Follicle stimulating hormone (FSH) signaling pathway	27	2	8.39175708361454e-54	2	1.30693545985214e-53	2	1.99560639616765e-54	2	6.78676091705344e-53	2	8.14979297326518e-54	2	1.61146804892732e-53	2	5.19854787571575e-55	2	5.19854787571575e-55
<https://identifiers.org/wikipathways/WP2036_r120940>	WP2036	TNF-related weak inducer of apoptosis (TWEAK) signaling pathway	42	2	2.96082417653763e-79	2	5.99660393372014e-79	2	3.00319066220078e-80	2	8.26664522998068e-78	2	2.82599096659547e-79	2	8.37157661546776e-79	2	3.52054903382426e-81	2	3.52054903382426e-81
<https://identifiers.org/wikipathways/WP2037_r122570>	WP2037	Prolactin signaling pathway	76	11	1.72024648382733e-107	11	5.37085466748222e-107	11	4.28414415820266e-109	11	3.69548070841757e-105	11	1.59563336538783e-107	11	9.19996333083133e-107	11	1.3458916965353e-110	11	1.3458916965353e-110
<https://identifiers.org/wikipathways/WP2038_r117173>	WP2038	Microtubule cytoskeleton regulation	46	4	3.20459617891091e-80	4	6.72052264569606e-80	4	2.90294276346642e-81	4	1.05455949175607e-78	4	3.0516283903483e-80	4	9.53806265260692e-80	4	3.06081608907947e-82	4	3.06081608907947e-82
<https://identifiers.org/wikipathways/WP205_r120718>	WP205	IL-7 signaling pathway	25	3	2.0240536511766e-47	3	2.99009213787967e-47	3	5.71255708856996e-48	3	1.27592000667664e-46	3	1.97256205285421e-47	3	3.59590004785544e-47	3	1.74713815981685e-48	3	1.74713815981685e-48
<https://identifiers.org/wikipathways/WP2059_r119468>	WP2059	Alzheimer's disease and miRNA effects	280	24	5.38822816145839e-294	24	3.79191143646318e-292	24	5.35276526364275e-300	24	2.69341667473144e-285	24	4.06791257728528e-294	24	2.82892344556151e-291	24	1.22657708763712e-305	24	1.22657708763712e-305
<https://identifiers.org/wikipathways/WP206_r117723>	WP206	Fatty acid omega-oxidation	15	1	7.60846358944202e-34	1	9.75868953703897e-34	1	3.39538281416043e-34	1	2.46250295925109e-33	1	7.48442665734825e-34	1	1.09774358834925e-33	1	1.5950448870238e-34	1	1.5950448870238e-34
<https://identifiers.org/wikipathways/WP2064_r117162>	WP2064	Neural crest differentiation	101	8	9.03906430769706e-147	8	4.54905728717717e-146	8	4.7778647747839e-149	8	1.8419471372675e-143	8	8.12396034511115e-147	8	9.76446794013812e-146	8	3.50501375701381e-151	8	3.50501375701381e-151
<https://identifiers.org/wikipathways/WP2112_r117960>	WP2112	IL-17 signaling pathway	32	3	7.67863543734494e-60	3	1.28294344585086e-59	3	1.45385081602734e-60	3	8.65098777008135e-59	3	7.42269897588374e-60	3	1.63532623285206e-59	3	3.05901270126375e-61	3	3.05901270126375e-61
<https://identifiers.org/wikipathways/WP2113_r105848>	WP2113	Type III interferon signaling	10	1	3.0600410233068e-23	1	3.59186052446223e-23	1	1.82030278812256e-23	1	6.51834831753246e-23	1	3.02783028664454e-23	1	3.87458142274426e-23	1	1.119251245643e-23	1	1.119251245643e-23
<https://identifiers.org/wikipathways/WP2118_r119252>	WP2118	Arrhythmogenic right ventricular cardiomyopathy	74	9	3.31977391615822e-109	9	1.03648072530358e-108	9	8.2676466210929e-111	9	7.13162943729705e-107	9	3.07929245952048e-109	9	1.77543151998493e-108	9	2.59733485296283e-112	9	2.59733485296283e-112
<https://identifiers.org/wikipathways/WP2197_r117710>	WP2197	Endothelin pathways	33	8	3.3194434319945e-49	8	5.16971390499114e-49	8	7.89382066068095e-50	8	2.68457114834965e-48	8	3.22373210850477e-49	8	6.37432301433681e-49	8	2.05633759771817e-50	8	2.05633759771817e-50
<https://identifiers.org/wikipathways/WP22_r120719>	WP22	IL-9 signaling pathway	17	1	7.07326209264537e-38	1	9.39903810824989e-38	1	2.81436879314797e-38	1	2.7052799541997e-37	1	6.94170762202852e-38	1	1.07512563284822e-37	1	1.18738959336519e-38	1	1.18738959336519e-38
<https://identifiers.org/wikipathways/WP2203_r120724>	WP2203	Thymic stromal lymphopoietin (TSLP) signaling pathway	47	8	4.69041105880143e-72	8	9.33530596055661e-72	9	1.02647398868989e-70	8	1.20615989100326e-70	8	4.48197464550284e-72	9	2.42713462943203e-69	8	6.22321145896987e-74	9	1.33799046367853e-71
<https://identifiers.org/wikipathways/WP2249_r107453>	WP2249	Metastatic brain tumor	22	2	1.29643804441838e-44	2	1.84884027089407e-44	2	4.10224437087301e-45	2	6.9199798936023e-44	2	1.26640284828159e-44	2	2.18666369223131e-44	2	1.39649740627035e-45	2	1.39649740627035e-45
<https://identifiers.org/wikipathways/WP2261_r118379>	WP2261	Glioblastoma signaling pathways	83	8	1.21124994864765e-123	8	4.48867056832125e-123	8	1.7294333919614e-125	8	5.83599122170653e-121	8	1.11085962713876e-123	8	8.33751129553032e-123	8	3.22396117597386e-127	8	3.22396117597386e-127
<https://identifiers.org/wikipathways/WP2267_r117179>	WP2267	Synaptic vesicle pathway	51	3	1.29976771803391e-90	3	3.0255283283438e-90	3	8.39352912232031e-92	3	6.99510317322995e-89	3	1.22922539709986e-90	3	4.51100859323806e-90	3	6.44390636992394e-93	3	6.44390636992394e-93
<https://identifiers.org/wikipathways/WP2272_r118427>	WP2272	Pathogenic Escherichia coli infection	71	3	9.43660207894649e-120	3	3.1020044620041e-119	3	1.98823709478301e-121	3	2.58436317263218e-117	3	8.72328460383045e-120	3	5.44451627920151e-119	3	5.33939269965327e-123	3	5.33939269965327e-123
<https://identifiers.org/wikipathways/WP2289_r120498>	WP2289	Drug induction of bile acid pathway	17	1	7.07326209264537e-38	1	9.39903810824989e-38	1	2.81436879314797e-38	1	2.7052799541997e-37	1	6.94170762202852e-38	1	1.07512563284822e-37	1	1.18738959336519e-38	1	1.18738959336519e-38
<https://identifiers.org/wikipathways/WP2290_r79988>	WP2290	RalA downstream regulated genes	12	1	1.38866589568813e-27	1	1.68890246581776e-27	1	7.36277733853336e-28	1	3.4973773506876e-27	1	1.3708314909303e-27	1	1.85267000872368e-27	1	4.06469467227321e-28	1	4.06469467227321e-28
<https://identifiers.org/wikipathways/WP23_r120701>	WP23	B cell receptor signaling pathway	97	7	4.21118519321522e-144	7	2.01439155816546e-143	7	2.62510721102826e-146	7	6.7551683697232e-141	7	3.79757206263694e-144	7	4.22131678988105e-143	7	2.24825775494734e-148	7	2.24825775494734e-148
<https://identifiers.org/wikipathways/WP231_r120699>	WP231	TNF-alpha signaling pathway	93	8	1.14071186866351e-136	8	5.01266121450791e-136	8	9.3662665346684e-139	8	1.2268744374512e-133	8	1.03445601997356e-136	8	1.00916161684803e-135	8	1.0388897809574e-140	8	1.0388897809574e-140
<https://identifiers.org/wikipathways/WP2324_r120674>	WP2324	AGE/RAGE pathway	66	13	2.70860288506688e-89	13	6.87567940461617e-89	13	1.32041617534522e-90	13	2.19338474011112e-87	13	2.54697785403758e-89	13	1.06801339643026e-88	13	7.78789543269055e-92	13	7.78789543269055e-92
<https://identifiers.org/wikipathways/WP2328_r120805>	WP2328	Allograft rejection	102	19	9.95119083621453e-125	19	4.2266798732614e-124	20	8.57261038073155e-125	19	9.11830213136737e-122	19	9.04454647542191e-125	20	7.25992552548751e-122	19	1.1225928826022e-128	20	1.11080565733488e-126
<https://identifiers.org/wikipathways/WP2332_r120725>	WP2332	Interleukin-11 signaling pathway	44	7	1.15899175008666e-69	7	2.22758650554924e-69	7	1.39319392803494e-70	7	2.52792665565438e-68	7	1.11004447349316e-69	7	3.03380602339367e-69	7	1.91502205865254e-71	7	1.91502205865254e-71
<https://identifiers.org/wikipathways/WP2355_r120664>	WP2355	Corticotropin-releasing hormone signaling pathway	92	8	2.18329798518391e-135	8	9.43242701654734e-135	9	3.9571972546254e-135	8	2.16747817283044e-132	8	1.9821512124654e-135	9	3.63148676640558e-132	8	2.21294694201787e-139	9	4.86848327243939e-137
<https://identifiers.org/wikipathways/WP2359_r119918>	WP2359	Parkin-ubiquitin proteasomal system pathway	73	9	7.89567850329472e-108	9	2.42312385780432e-107	9	2.07920140025055e-109	9	1.56413980766667e-105	9	7.33204501847963e-108	9	4.11708174093814e-107	9	6.88293736035147e-111	9	6.88293736035147e-111
<https://identifiers.org/wikipathways/WP236_r105873>	WP236	Adipogenesis	131	18	4.08110908349387e-161	18	2.87531361345252e-160	18	7.23280647225484e-164	18	4.05640664677186e-157	18	3.58730870708246e-161	18	7.23514051658702e-160	18	1.90158876594787e-166	18	1.90158876594787e-166
<https://identifiers.org/wikipathways/WP2361_r117731>	WP2361	Gastric cancer network 1	29	1	2.66894505927068e-60	1	4.38166572030529e-60	1	5.34935028074568e-61	1	2.76796725627406e-59	1	2.58297952265631e-60	1	5.53900820804739e-60	1	1.18721763103484e-61	1	1.18721763103484e-61
<https://identifiers.org/wikipathways/WP2363_r117737>	WP2363	Gastric cancer network 2	32	1	1.54741003321976e-65	1	2.67770797681344e-65	1	2.61475964948432e-66	1	2.05703913002685e-64	1	1.49237176218465e-65	1	3.47025947733412e-65	1	4.94532152743953e-67	1	4.94532152743953e-67
<https://identifiers.org/wikipathways/WP2369_r118380>	WP2369	Histone modifications	67	1	7.5424200748357e-120	1	2.39566300744492e-119	1	1.77649419764887e-121	1	1.75696984795922e-117	1	6.98811736985639e-120	1	4.13709215534167e-119	1	5.29651863496566e-123	1	5.29651863496566e-123
<https://identifiers.org/wikipathways/WP2371_r119919>	WP2371	Parkinson's disease pathway	47	5	3.0123204081762e-79	5	6.31729128695431e-79	5	2.72876619765849e-80	5	9.9128592225069e-78	5	2.8685306869274e-79	5	8.96577889345096e-79	5	2.87716712373475e-81	5	2.87716712373475e-81
<https://identifiers.org/wikipathways/WP2374_r120781>	WP2374	Oncostatin M signaling pathway	65	13	7.17369370166166e-88	13	1.78976018441377e-87	13	3.69916592153529e-89	13	5.35385275199856e-86	13	6.75335037055404e-88	13	2.75741640532897e-87	13	2.29978912095663e-90	13	2.29978912095663e-90
<https://identifiers.org/wikipathways/WP2380_r120727>	WP2380	Brain-derived neurotrophic factor (BDNF) signaling pathway	144	11	2.74215871541386e-190	11	2.69456274412535e-189	11	1.64861988579487e-193	11	1.30554531565405e-185	11	2.35795483952734e-190	11	7.93431761557373e-189	11	1.56968202783708e-196	11	1.56968202783708e-196
<https://identifiers.org/wikipathways/WP24_r113974>	WP24	Peptide GPCRs	75	17	1.31299977094919e-93	17	3.63380263697194e-93	18	4.98073135333881e-93	17	1.59789167869386e-91	17	1.22762473622069e-93	18	5.58250001965811e-91	17	2.192658266771e-96	18	2.38025236292799e-94
