pathwayRes	pathway	pathwayTitle	TotalMetabolitesinPW	BiomarkersInPWs	probabilities_metabolomics	TotalGenesinPW	GenesInPWs	probabilities_transcriptome
<https://identifiers.org/wikipathways/WP3869_r118463>	WP3869	Cannabinoid receptor signaling	22	1	4.30601476157456e-21	31	5	1.37852371581596e-53
<https://identifiers.org/wikipathways/WP4290_r118611>	WP4290	Metabolic reprogramming in colon cancer	37	1	9.74157005757257e-30	42	5	3.09271379373513e-72
<https://identifiers.org/wikipathways/WP4906_r115773>	WP4906	3q29 copy number variation syndrome	16	1	8.75700947880565e-17	75	5	8.33289751766389e-122
<https://identifiers.org/wikipathways/WP4969_r120081>	WP4969	RAS and bradykinin pathways in COVID-19	17	1	1.50372890040097e-17	31	5	1.37852371581596e-53
<https://identifiers.org/wikipathways/WP3940_r119248>	WP3940	One-carbon metabolism and related pathways	41	6	3.91323090559714e-24	52	4	1.09115878590161e-90
<https://identifiers.org/wikipathways/WP4723_r120315>	WP4723	Omega-3 / omega-6 fatty acid synthesis	38	6	9.79834840899037e-23	14	4	1.00892751434701e-23
<https://identifiers.org/wikipathways/WP167_r120547>	WP167	Eicosanoid synthesis	27	1	2.97551755860453e-24	28	4	8.47933157731652e-51
<https://identifiers.org/wikipathways/WP2526_r121697>	WP2526	PDGF pathway	10	1	1.15107258195668e-11	41	4	3.68180213539894e-73
<https://identifiers.org/wikipathways/WP3645_r118940>	WP3645	NAD+ biosynthetic pathways	14	1	3.46850550439694e-15	22	4	1.12676346134767e-39
<https://identifiers.org/wikipathways/WP4210_r95880>	WP4210	Tryptophan catabolism leading to NAD+ production	23	1	9.43222281106804e-22	16	4	7.41164532971821e-28
<https://identifiers.org/wikipathways/WP4595_r121755>	WP4595	Urea cycle and associated pathways	30	1	5.30036911545038e-26	24	4	1.88703241060154e-43
<https://identifiers.org/wikipathways/WP5046_r118987>	WP5046	NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence	12	1	1.73806429670879e-13	28	4	8.47933157731652e-51
<https://identifiers.org/wikipathways/WP2525_r116582>	WP2525	Trans-sulfuration and one-carbon metabolism	34	5	4.91619836196255e-22	31	3	8.29149293515588e-59
<https://identifiers.org/wikipathways/WP5176_r122283>	WP5176	Disorders of bile acid synthesis and biliary transport	44	4	3.59789621992224e-28	20	3	1.76965274362308e-38
<https://identifiers.org/wikipathways/WP4949_r115778>	WP4949	16p11.2 proximal deletion syndrome	42	3	9.35605148098179e-29	82	3	1.13652904865916e-136
<https://identifiers.org/wikipathways/WP241_r120901>	WP241	One-carbon metabolism	25	2	2.66949702200039e-21	29	3	2.96456713078699e-55
<https://identifiers.org/wikipathways/WP1455_r117827>	WP1455	Serotonin transporter activity	3	1	0.000840336134453783	11	3	6.02368530969556e-20
<https://identifiers.org/wikipathways/WP2267_r117179>	WP2267	Synaptic vesicle pathway	7	1	1.20459745701767e-08	51	3	8.39352912232031e-92
<https://identifiers.org/wikipathways/WP4224_r120400>	WP4224	Purine metabolism and related disorders	61	1	5.19584141577775e-40	24	3	4.15417151480801e-46
<https://identifiers.org/wikipathways/WP4288_r120407>	WP4288	MTHFR deficiency	23	1	9.43222281106804e-22	27	3	1.21133308247379e-51
<https://identifiers.org/wikipathways/WP430_r122069>	WP430	Statin inhibition of cholesterol production	17	1	1.50372890040097e-17	31	3	8.29149293515588e-59
<https://identifiers.org/wikipathways/WP4483_r107927>	WP4483	Relationship between inflammation, COX-2 and EGFR	2	1	0.0238095238095238	26	3	8.16528225963824e-50
<https://identifiers.org/wikipathways/WP4584_r119306>	WP4584	Biomarkers for pyrimidine metabolism disorders	35	1	1.02696041102429e-28	19	3	1.60419021209435e-36
<https://identifiers.org/wikipathways/WP4726_r120323>	WP4726	Sphingolipid metabolism: integrated pathway	67	5	1.49000750112981e-35	26	2	1.34592564719308e-52
<https://identifiers.org/wikipathways/WP497_r119105>	WP497	Urea cycle and metabolism of amino groups	31	3	3.06714692814059e-23	37	2	6.10432396148366e-72
<https://identifiers.org/wikipathways/WP2485_r117161>	WP2485	NAD biosynthesis II (from tryptophan)	25	2	2.66949702200039e-21	8	2	5.93718518864845e-16
<https://identifiers.org/wikipathways/WP3953_r106206>	WP3953	mRNA, protein, and metabolite inducation pathway by cyclosporin A	14	2	1.66488264211052e-13	8	2	5.93718518864845e-16
<https://identifiers.org/wikipathways/WP4586_r119267>	WP4586	Metabolism of alpha-linolenic acid	20	2	5.09183449442701e-18	6	2	3.44081297957319e-11
<https://identifiers.org/wikipathways/WP2435_r120750>	WP2435	Quercetin and Nf-kB / AP-1 induced apoptosis	9	1	1.05898677540015e-10	17	2	2.54981812659205e-35
<https://identifiers.org/wikipathways/WP3644_r118983>	WP3644	NAD+ metabolism	15	1	5.36366830576845e-16	16	2	2.71630625132838e-33
<https://identifiers.org/wikipathways/WP4225_r120401>	WP4225	Pyrimidine metabolism and related diseases	37	1	9.74157005757257e-30	24	2	6.8550685062838e-49
<https://identifiers.org/wikipathways/WP4686_r122622>	WP4686	Leucine, isoleucine and valine metabolism	74	1	1.74691893608481e-44	25	2	9.42147953035195e-51
<https://identifiers.org/wikipathways/WP4947_r118070>	WP4947	Nitric oxide metabolism in cystic fibrosis	9	1	1.05898677540015e-10	14	2	3.70582266485915e-29
<https://identifiers.org/wikipathways/WP5213_r122577>	WP5213	Amino acid metabolism in triple-negative breast cancer cells	18	1	2.70671202072174e-18	9	2	2.96365317237024e-18
<https://identifiers.org/wikipathways/WP550_r119093>	WP550	Biogenic amine synthesis	17	4	5.8964593574748e-13	15	1	3.39538281416043e-34
<https://identifiers.org/wikipathways/WP4661_r117646>	WP4661	Amino acid metabolism pathway excerpt: histidine catabolism extension	16	3	1.38740220175877e-13	6	1	3.82100275355155e-14
<https://identifiers.org/wikipathways/WP106_r114258>	WP106	Alanine and aspartate metabolism	22	2	2.23912767601875e-19	40	1	6.40401632497158e-80
<https://identifiers.org/wikipathways/WP2289_r120498>	WP2289	Drug induction of bile acid pathway	27	2	1.62165706943947e-22	17	1	2.81436879314797e-38
<https://identifiers.org/wikipathways/WP2453_r117835>	WP2453	TCA cycle and deficiency of pyruvate dehydrogenase complex (PDHc)	19	2	2.57137641968565e-17	16	1	2.99978603128478e-36
<https://identifiers.org/wikipathways/WP4259_r119256>	WP4259	Disorders of folate metabolism and transport	26	2	6.48662827775784e-22	15	1	3.39538281416043e-34
<https://identifiers.org/wikipathways/WP4853_r122756>	WP4853	Linoleic acid metabolism affected by SARS-CoV-2	14	2	1.66488264211052e-13	13	1	5.2940323783702e-30
<https://identifiers.org/wikipathways/WP5190_r122630>	WP5190	Creatine pathway	18	2	1.35335601036087e-16	5	1	1.14693765985773e-11
<https://identifiers.org/wikipathways/WP528_r120525>	WP528	Acetylcholine synthesis	10	2	5.29493387700077e-10	7	1	1.4842962971621e-16
<https://identifiers.org/wikipathways/WP78_r119082>	WP78	TCA cycle (aka Krebs or citric acid cycle)	24	2	1.13186673732815e-20	18	1	2.79418854256284e-40
<https://identifiers.org/wikipathways/WP1601_r120496>	WP1601	Fluoropyrimidine activity	20	1	9.98398920475894e-20	34	1	8.77474964713104e-70
<https://identifiers.org/wikipathways/WP2513_r119820>	WP2513	Nanoparticle triggered regulated necrosis	8	1	1.07075329512682e-09	14	1	4.09709526242026e-32
<https://identifiers.org/wikipathways/WP2533_r120261>	WP2533	Glycerophospholipid biosynthetic pathway	58	1	6.88916021404948e-39	44	1	1.8301961610935e-86
<https://identifiers.org/wikipathways/WP3933_r116372>	WP3933	Kennedy pathway from sphingolipids	20	1	9.98398920475894e-20	14	1	4.09709526242026e-32
<https://identifiers.org/wikipathways/WP3996_r107156>	WP3996	Ethanol effects on histone modifications	21	1	2.03557061456248e-20	31	1	1.49286433737747e-64
<https://identifiers.org/wikipathways/WP4519_r119988>	WP4519	Cerebral organic acidurias, including diseases	28	1	7.57404469462971e-25	8	1	6.58589593860051e-19
<https://identifiers.org/wikipathways/WP4721_r116526>	WP4721	Eicosanoid metabolism via lipooxygenases (LOX)	40	1	3.25994825121314e-31	29	1	5.34935028074568e-61
<https://identifiers.org/wikipathways/WP4722_r117144>	WP4722	Glycerolipids and glycerophospholipids	29	1	1.97880446976813e-25	22	1	4.51540382044357e-48
<https://identifiers.org/wikipathways/WP5050_r119012>	WP5050	TCA cycle in senescence	14	1	3.46850550439694e-15	10	1	1.82030278812256e-23
<https://identifiers.org/wikipathways/WP678_r116938>	WP678	Arachidonate epoxygenase / epoxide hydrolase	10	1	1.15107258195668e-11	7	1	1.4842962971621e-16
<https://identifiers.org/wikipathways/WP690_r117170>	WP690	Polyol pathway	11	1	1.36148369908855e-12	4	1	4.12897557548781e-09
<https://identifiers.org/wikipathways/WP1600_r119518>	WP1600	Nicotine metabolism in liver cells	11	NA	NA	6	1	3.82100275355155e-14
