pathwayRes	pathway	pathwayTitle	TotalMetabolitesinPW	BiomarkersInPWs	probabilities_metabolomics	TotalGenesinPW	GenesInPWs	probabilities_transcriptome
<https://identifiers.org/wikipathways/WP4722_r117144>	WP4722	Glycerolipids and glycerophospholipids	29	1	1.97880446976813e-25	22	2	4.98566095521432e-42
<https://identifiers.org/wikipathways/WP4906_r115773>	WP4906	3q29 copy number variation syndrome	16	1	8.75700947880565e-17	75	2	8.93511680671717e-119
<https://identifiers.org/wikipathways/WP5050_r119012>	WP5050	TCA cycle in senescence	14	1	3.46850550439694e-15	10	2	2.84705578791774e-19
<https://identifiers.org/wikipathways/WP5213_r122577>	WP5213	Amino acid metabolism in triple-negative breast cancer cells	18	1	2.70671202072174e-18	9	2	3.59867851592803e-17
<https://identifiers.org/wikipathways/WP690_r117170>	WP690	Polyol pathway	11	1	1.36148369908855e-12	4	2	7.58866405363668e-06
<https://identifiers.org/wikipathways/WP4726_r120323>	WP4726	Sphingolipid metabolism: integrated pathway	67	5	1.49000750112981e-35	26	1	1.04533087150073e-51
<https://identifiers.org/wikipathways/WP4949_r115778>	WP4949	16p11.2 proximal deletion syndrome	42	3	9.35605148098179e-29	82	1	3.42457016123494e-130
<https://identifiers.org/wikipathways/WP3996_r107156>	WP3996	Ethanol effects on histone modifications	21	1	2.03557061456248e-20	31	1	6.10706745397997e-60
<https://identifiers.org/wikipathways/WP4288_r120407>	WP4288	MTHFR deficiency	23	1	9.43222281106804e-22	27	1	2.20155487757565e-53
<https://identifiers.org/wikipathways/WP4720_r120365>	WP4720	Eicosanoid metabolism via cytochrome P450 monooxygenases pathway	13	1	2.37840377444362e-14	9	1	5.69411157583549e-20
<https://identifiers.org/wikipathways/WP4947_r118070>	WP4947	Nitric oxide metabolism in cystic fibrosis	9	1	1.05898677540015e-10	14	1	4.18976409189123e-30
<https://identifiers.org/wikipathways/WP5171_r122629>	WP5171	Leukotriene metabolic pathway	19	1	5.09183449442703e-19	14	1	4.18976409189123e-30
<https://identifiers.org/wikipathways/WP678_r116938>	WP678	Arachidonate epoxygenase / epoxide hydrolase	10	1	1.15107258195668e-11	7	1	1.26253637933808e-15
